kospi_ticker,russell_ticker,timelag,counts
000100 KS,TMO UN,0.0,1809
000100 KS,TNDM UQ,0.0,1545
000100 KS,TXG UW,0.0,480
000100 KS,UHS UN,0.0,4333
000100 KS,UNH UN,0.0,2685
000100 KS,UTHR UW,0.0,1090
000100 KS,VEEV UN,0.0,329
000100 KS,VRTX UW,0.0,17
000100 KS,VTRS UW,0.0,2061
000100 KS,WAT UN,0.0,1110
000100 KS,WST UN,0.0,980
000100 KS,XRAY UW,0.0,2796
000100 KS,ZBH UN,0.0,1794
000100 KS,ZTS UN,0.0,1474
000100 KS,AADI UR,0.0,799
000100 KS,ABCL UW,0.0,770
000100 KS,ABSI UW,0.0,169
000100 KS,ABUS UW,0.0,300
000100 KS,ACAD UW,0.0,949
000100 KS,ACCD UW,0.0,185
000100 KS,ACET UQ,0.0,72
000100 KS,ACLX UW,0.0,140
000100 KS,ACRS UW,0.0,120
000100 KS,ACRV UQ,16.0,104
000100 KS,ADMA UQ,0.0,403
000100 KS,ADPT UW,0.0,1150
000100 KS,ADUS UW,0.0,527
000100 KS,AFMD UQ,0.0,2113
000100 KS,AGEN UR,0.0,1515
000100 KS,AGIO UW,0.0,607
000100 KS,AGTI UN,0.0,1033
000100 KS,AHCO UR,0.0,1627
000100 KS,AIRS UQ,0.0,1322
000100 KS,AKRO UW,0.0,3071
000100 KS,AKYA UW,0.0,514
000100 KS,ALEC UW,0.0,3421
000100 KS,ALHC UW,0.0,158
000100 KS,ALKS UW,0.0,1366
000100 KS,ALLO UW,0.0,872
000100 KS,ALPN UQ,0.0,358
000100 KS,ALVR UW,0.0,436
000100 KS,ALXO UW,0.0,548
000100 KS,AMEH UR,0.0,284
000100 KS,AMLX UW,0.0,75
000100 KS,AMN UN,0.0,494
000100 KS,AMPH UW,0.0,674
000100 KS,AMRX UN,0.0,964
000100 KS,AMWL UN,0.0,158
000100 KS,ANAB UW,0.0,1001
000100 KS,ANGO UW,0.0,97
000100 KS,ANIK UW,0.0,1104
000100 KS,ANIP UQ,0.0,1220
000100 KS,ANTX UW,0.0,289
000100 KS,AORT UN,0.0,640
000100 KS,APLS UW,0.0,338
000100 KS,ARCT UQ,0.0,690
000100 KS,ARQT UW,0.0,1124
000100 KS,ARVN UW,0.0,964
000100 KS,ARWR UW,0.0,1170
000100 KS,ATEC UW,0.0,4105
000100 KS,ATHA UW,0.0,1477
000100 KS,ATIP UN,0.0,725
000100 KS,ATRA UW,0.0,4396
000100 KS,ATRC UQ,0.0,1126
000100 KS,ATRI UW,0.0,1190
000100 KS,AUPH UQ,0.0,1452
000100 KS,AURA UQ,0.0,6
000100 KS,AVAH UW,0.0,267
000100 KS,AVIR UW,0.0,144
000100 KS,AVNS UN,0.0,688
000100 KS,AVTE UQ,0.0,167
000100 KS,AVXL UW,0.0,745
000100 KS,AXGN UR,0.0,319
000100 KS,AXNX UW,0.0,891
000100 KS,AXSM UQ,0.0,302
000100 KS,BBIO UW,0.0,857
000100 KS,BBLN UN,0.0,169
000100 KS,BCRX UW,0.0,233
000100 KS,BEAM UW,0.0,2012
000100 KS,BFLY UN,0.0,2408
000100 KS,BHVN UN,0.0,129
000100 KS,BKD UN,0.0,1131
000100 KS,BLFS UR,0.0,415
000100 KS,BLUE UW,0.0,21
000100 KS,BNGO UR,0.0,189
000100 KS,BPMC UW,0.0,278
000100 KS,BTAI UR,0.0,2410
000100 KS,BVS UW,0.0,907
000100 KS,CANO UN,0.0,5
000100 KS,CARA UQ,0.0,1872
000100 KS,CCCC UW,0.0,512
000100 KS,CCRN UW,0.0,239
000100 KS,CDMO UR,0.0,681
000100 KS,CDNA UQ,0.0,625
000100 KS,CDXS UW,0.0,499
000100 KS,CELL UW,0.0,1
000100 KS,CELU UR,0.0,1684
000100 KS,CERE UR,0.0,325
000100 KS,CERS UQ,0.0,1963
000100 KS,CGEM UW,0.0,135
000100 KS,CHRS UQ,0.0,2029
000100 KS,CLDX UR,0.0,938
000100 KS,CLOV UW,0.0,450
000100 KS,CMAX UW,0.0,32
000100 KS,CMRX UQ,0.0,2984
000100 KS,CNMD UN,0.0,1726
000100 KS,COGT UW,0.0,251
000100 KS,COLL UW,0.0,744
000100 KS,CORT UR,0.0,581
000100 KS,CPRX UR,0.0,393
000100 KS,CPSI UW,0.0,306
000100 KS,CRBU UW,0.0,828
000100 KS,CRNX UW,0.0,1288
000100 KS,CRVL UW,0.0,2053
000100 KS,CSTL UQ,0.0,240
000100 KS,CTIC UR,0.0,62
000100 KS,CTKB UW,0.0,66
000100 KS,CUTR UW,0.0,592
000100 KS,CYH UN,0.0,1081
000100 KS,CYRX UR,0.0,209
000100 KS,CYTK UW,0.0,332
000100 KS,DAWN UW,0.0,157
000100 KS,DCGO UR,0.0,918
