kospi_ticker,russell_ticker,ks_len,rs_len,corr_r,rmse_r,corr_px,distance_px,rmse_px
010950 KS,AM UN,1576,1576,0.2075140503173682,0.025227573036763516,0.7755199789575107,11.482044438856503,0.4236730619481944
010950 KS,APA UW,774,774,0.4005860672272825,0.030357706531094503,0.5310138063872603,24.183220061664546,0.9902935536350891
010950 KS,AR UN,2183,2183,0.20833374453997003,0.03304453007746953,0.0,46.8963269818615,1.4662208059852404
010950 KS,BKR UW,386,386,0.3642024425851652,0.023509392098200892,0.4235355520633952,2.7125562386461306,0.22017035244029357
010950 KS,CHK UW,600,600,0.28580426571608464,0.025386225792003423,0.0,15.793006447461536,0.7713999946494222
010950 KS,COP UN,2183,2183,0.29622949127894177,0.022277152578018416,0.21967490253674132,15.739022975406016,1.0433496899033414
010950 KS,CTRA UN,2183,2183,0.22550244793753488,0.02357502096549093,0.1745456254494276,37.92977772772876,1.1481977999969044
010950 KS,CVX UN,2183,2183,0.27964055328296744,0.019700777245283928,0.37209009474648247,19.384937137192058,0.9039704260436704
010950 KS,DINO UN,2183,2183,0.20484134469875728,0.026203912521567948,0.45261353957397865,13.331133808012792,0.8693385889154466
010950 KS,DTM UN,508,508,0.3019136246691616,0.02070461246659369,0.0,5.106243977670513,0.3681552862488758
010950 KS,DVN UN,2183,2183,0.3057297912997784,0.027109870106883358,0.10000576493169973,38.056482101410516,1.3072920313786047
010950 KS,EOG UN,2183,2183,0.3115410770540733,0.022809298574296973,0.5458889554556581,22.71589036659133,0.9274757072215678
010950 KS,EQT UN,2183,2183,0.19059922994221382,0.0283048671681393,0.0,40.316175871381425,1.274657551500034
010950 KS,EVA UN,2099,2099,0.13818236693449842,0.022718483489033634,0.137700823742612,27.233884712566233,0.9382273145615238
010950 KS,FANG UW,2183,2183,0.29028410987161646,0.025695916992227015,0.6144074967039115,9.428048858618668,0.47653942379682956
010950 KS,HAL UN,2183,2183,0.30292884419757915,0.02394916396515841,0.33338623492534947,34.42040100956418,1.0780968291529576
010950 KS,HES UN,2183,2183,0.26785646810274566,0.025159112690646704,0.0,12.667179476495726,1.0614172407550653
010950 KS,KMI UN,2183,2183,0.25619728889322146,0.02031838745320847,-0.32240217211163325,56.675408967544364,1.4550275809986875
010950 KS,LNG UA,2183,2183,0.1925625959037038,0.023226636975509703,0.05764877275045314,14.602515962981816,1.0340250242884916
010950 KS,MPC UN,2183,2183,0.23320119438258796,0.023559821298476422,0.35613911008416843,13.595545931683521,0.7242484215663207
010950 KS,MRO UN,2183,2183,0.3055731844166794,0.02748510516279782,0.1544395053757558,42.686047782228705,1.3418268098035393
010950 KS,NFE UW,1126,1126,0.1749570567488045,0.03465392258068332,0.08296574082919891,53.59037529802894,1.7821476618567784
010950 KS,NOV UN,2183,2183,0.28549042660530777,0.025124022668442738,0.13260920244882848,60.167491073042214,1.483458844659876
010950 KS,OKE UN,2183,2183,0.2394908333445205,0.022699738831824797,0.5739888981776073,24.67213733241628,0.8459898767507341
010950 KS,OVV UN,2183,2183,0.2750790985158118,0.03155101912173363,0.44110271926347266,50.56817450236254,1.3205217099529845
010950 KS,OXY UN,2183,2183,0.29072522985816907,0.023439299218628154,0.30129357855810646,46.68753708956419,1.2212420390694751
010950 KS,PDCE UW,2183,2183,0.27625078270655107,0.02876799902379712,0.25312234564194347,15.92576881966365,0.8544886212919977
010950 KS,PSX UN,2183,2183,0.2722472483215419,0.0211407946900368,0.6215978969772026,19.161107720695462,0.7178186181664885
010950 KS,PXD UN,2183,2183,0.26593828059185465,0.023388279209263882,0.3742167668691377,14.854845215511816,0.8540864014518127
010950 KS,RRC UN,2183,2183,0.20706485559200427,0.03373343639609587,-0.2341350790852002,54.72893120642616,1.5352563727750936
010950 KS,SLB UN,2183,2183,0.29490079167363026,0.022303970942624773,0.0854646878159919,51.01349216303883,1.308498674260562
010950 KS,SWN UN,2183,2183,0.20228714435930745,0.03493832881879743,-0.35690922419393806,63.078836405196256,1.6571545484142873
010950 KS,TPL UN,2183,2183,0.19408892908351777,0.025300710758555417,0.18451333152064026,301.09473527033083,6.702621221907826
010950 KS,TRGP UN,2183,2183,0.2539608349428622,0.025203724083443166,0.0,54.64393367095897,1.4497614058039692
010950 KS,VLO UN,2183,2183,0.2291969717024661,0.023315902359905688,0.4961934140551131,7.492053386084126,0.5106321190300847
010950 KS,VTS UN,101,101,0.0,0.03150521711604079,-0.5490866742077539,1.3761771812779153,0.16251670509681698
010950 KS,WMB UN,2183,2183,0.22993283421945349,0.021704141754790008,-0.12182581742205778,42.93898845060871,1.2914661605138538
010950 KS,XOM UN,2183,2183,0.30318198894298926,0.019414571618012307,0.24627301482700514,33.501943347499044,1.0928442107443916
010950 KS,ACDC UW,273,273,0.3899041793249411,0.03357123617013299,0.424923736282395,2.3308712724179856,0.32839595018533096
010950 KS,ALTO UR,2183,2183,0.13634189239210343,0.041959709327128614,-0.2685705324293993,53.24068465142672,1.5235171120209963
010950 KS,AMPY UN,1576,1576,0.23075948469351967,0.03780238464591931,0.7493799091918736,12.306627721948432,0.5312515515718185
010950 KS,AMTX UQ,2183,2183,0.06063098598858781,0.05191872026108627,0.0,30.363751243080237,1.4715377283712248
010950 KS,ARCH UN,1727,1727,0.1986131345409382,0.02753507925031396,0.32787335043437454,18.80137297355101,0.5800480743049814
010950 KS,AROC UN,2183,2183,0.24969410851005225,0.027836221121599527,-0.04870821599551063,53.786500316520026,1.4093082855309784
010950 KS,ASC UN,2183,2183,0.1650413883167624,0.030375207528542596,-0.1372890833505203,28.39645607116799,1.3054269593841095
010950 KS,BATL UA,852,852,0.15478053840596417,0.04117621892021673,0.6452879805349341,4.967831956789801,0.3600984498735583
010950 KS,BOOM UW,2183,2183,0.17423965137386493,0.03121455620142734,0.20076076685701957,19.8367867586193,1.0272127189040934
010950 KS,BORR UN,996,996,0.2926746511601193,0.05034502491781605,0.2828354842474111,18.497438814394798,0.726530836656725
010950 KS,BRY UW,1258,1258,0.27640002824159876,0.03285916218045536,0.8116440069029048,2.7850069281716436,0.20369724729871871
010950 KS,BTU UN,1599,1599,0.1855345860957522,0.03970611543887255,0.7482561189841845,7.8927890391622775,0.40645765258615224
010950 KS,CEIX UN,1438,1438,0.19005386399870094,0.03668210216848924,0.3888959637996231,30.03239711611676,0.8454058746543225
010950 KS,CHRD UW,656,656,0.3198754655370645,0.0264107355071804,0.32797887006111126,61.839203439630836,2.5537697346647947
010950 KS,CHX UW,627,627,0.3061849787931512,0.028303715730314497,0.0,6.0565510626184205,0.3357962406390202
010950 KS,CIVI UN,1579,1579,0.2841345948596167,0.029527552610454644,0.11656159027453977,14.382730699452749,0.4709213170650387
