kospi_ticker,russell_ticker,ks_len,rs_len,corr_r,rmse_r,corr_px,distance_px,rmse_px
298050 KS,TTEK UW,1268,1268,0.143765862,0.027239707,0.869269772,9.703995291,0.670508823
112610 KS,ROK UN,2183,2183,0.122816108,0.02712184,0.869231978,64.52547296,1.643697064
112610 KS,EXPO UW,2183,2183,0.06979317,0.027264015,0.868583855,13.20551541,1.148748924
001740 KS,CSTE UW,2183,2183,0.118003718,0.023916433,0.868337109,8.728372565,0.314119486
112610 KS,FWRD UW,2183,2183,0.088485788,0.027851755,0.868322401,78.61421685,1.927930849
298050 KS,AMRC UN,1268,1268,0.127824853,0.035113525,0.867341963,23.30372817,1.68319486
298050 KS,TRNS UQ,1268,1268,0.071324209,0.029849523,0.86704019,16.59561263,0.800264113
298050 KS,URI UN,1268,1268,0.179503557,0.030088116,0.866908505,10.01114132,0.615082863
112610 KS,SSD UN,2183,2183,0.059548239,0.027617362,0.866807234,40.56277684,1.360065644
010620 KS,FWRD UW,2183,2183,0.155861056,0.025158197,0.866567834,7.047255657,0.33944708
047810 KS,BW UN,2066,2066,0.065155413,0.038199457,0.865857131,14.1898241,0.401676931
298050 KS,WMS UN,1268,1268,0.143046124,0.029749499,0.865772565,10.83456512,1.114088225
298050 KS,ODFL UW,1268,1268,0.115215152,0.027877273,0.865446628,10.73798724,0.716703837
010620 KS,CSL UN,2183,2183,0.130056879,0.024600832,0.865246708,5.592161168,0.337408249
112610 KS,AAON UW,2183,2183,0.085382442,0.028608838,0.864670309,25.8075713,1.339640988
112610 KS,TTC UN,2183,2183,0.097893941,0.026467586,0.86421392,46.79113905,1.398367025
004990 KS,GE UN,2183,2183,0.117735135,0.020691452,0.863754899,2.891154302,0.191549789
294870 KS,EAF UN,1290,1290,0.110722213,0.033700449,0.863730116,1.716460823,0.14770705
051600 KS,PBI UN,2183,2183,0.069426376,0.027770418,0.863483787,9.102526418,0.272982393
004990 KS,CXW UN,2183,2183,0.112307782,0.02323487,0.863092238,5.977940008,0.29140505
298050 KS,ERII UW,1268,1268,0.138304788,0.029857865,0.862796105,10.54868594,0.609032644
010140 KS,TGI UN,2183,2183,0.129136173,0.032591416,0.862610475,4.231822019,0.195578274
112610 KS,ITW UN,2183,2183,0.108862437,0.026385412,0.862398123,70.38954605,1.715706783
010140 KS,CSTE UW,2183,2183,0.062213748,0.027429773,0.862373419,6.21209655,0.21305112
112610 KS,WSC UR,1962,1962,0.100941605,0.027738283,0.86234804,55.18487377,2.307888747
051600 KS,CSTE UW,2183,2183,0,0.026560857,0.862286399,8.559621825,0.306495119
298050 KS,ASGN UN,1268,1268,0.168629956,0.027885507,0.861806232,34.44806283,1.072831914
010620 KS,CRAI UW,2183,2183,0.090072178,0.027454847,0.86147496,13.07903548,0.567781245
298020 KS,MTZ UN,1268,1268,0.121841156,0.02928813,0.861196622,14.18252458,0.604603825
112610 KS,GWW UN,2183,2183,0.068231765,0.027514017,0.860037213,67.31786508,1.905656928
112610 KS,TRNS UQ,2183,2183,0,0.030512408,0.859934737,37.3379715,1.651331454
112610 KS,PLUG UR,2183,2183,0.095323754,0.04171331,0.859908558,107.4290463,2.852925789
298020 KS,JCI UN,1268,1268,0.156240492,0.02470189,0.859772032,14.43209318,0.608195399
112610 KS,KBR UN,2183,2183,0.101369034,0.029043728,0.859753033,48.25551289,1.587186546
112610 KS,NDSN UW,2183,2183,0.114819347,0.026800527,0.859606394,54.27814691,1.47288216
010620 KS,NVEE UW,2183,2183,0.074655263,0.030422612,0.859556157,152.3907053,4.167587586
003490 KS,REZI UN,1201,1201,0.183989325,0.029428686,0.859267616,20.0839099,0.730138214
052690 KS,BLDR UN,1324,1324,0.107773744,0.032594849,0.858655501,35.88054555,1.38490972
298050 KS,TT UN,1268,1268,0.136925019,0.026186005,0.858006615,13.16122311,0.696907219
112610 KS,MTZ UN,2183,2183,0.095825346,0.031332236,0.85799279,17.82133447,1.122119054
298050 KS,CSX UW,1268,1268,0.140942904,0.02588261,0.857939674,29.24237854,0.956712764
112610 KS,RUSHB UW,2183,2183,0.082912568,0.029935528,0.857622679,51.08456695,1.599151042
298050 KS,EXPO UW,1268,1268,0.106231256,0.026526436,0.857548185,17.52179172,0.764409931
294870 KS,TPC UN,1290,1290,0.119633675,0.031827009,0.857267473,3.034320752,0.281300741
294870 KS,DLX UN,1290,1290,0.179927579,0.027354447,0.857154761,1.988040794,0.16214436
112610 KS,ROL UN,2183,2183,0.086511718,0.026726195,0.856726807,29.32310307,1.246891512
294870 KS,HA UW,1290,1290,0.113588821,0.03379123,0.856624036,2.664865354,0.22440688
112610 KS,FSS UN,2183,2183,0.064802097,0.028466994,0.856476518,43.31484931,1.524179174
298050 KS,UPS UN,1268,1268,0.136842061,0.026007107,0.856259344,22.2446981,0.816308716
298050 KS,WCC UN,1268,1268,0.165599864,0.030459776,0.856251524,10.86177441,0.641040055
000880 KS,REVG UN,1645,1645,0.157644259,0.026851747,0.856082516,5.594249278,0.328182901
051600 KS,TGI UN,2183,2183,0.043843925,0.032995182,0.85606826,8.425061252,0.321978204
298050 KS,GTLS UN,1268,1268,0.129650865,0.033913204,0.856024487,9.858591777,0.588069265
298050 KS,CIX UA,1268,1268,0.078339569,0.031716784,0.855973962,24.07696928,0.917192061
112610 KS,IEX UN,2183,2183,0.106326348,0.026393762,0.85577957,59.67948111,1.524944926
112610 KS,HUBG UW,2183,2183,0.048501285,0.029304223,0.855260444,70.83314413,1.909697516
052690 KS,NVT UN,1329,1329,0.106839489,0.028405423,0.854718774,7.04733309,0.464999567
052690 KS,GMS UN,1821,1821,0.077375367,0.030238173,0.854653764,7.150002924,0.492971751
010620 KS,CIX UA,2183,2183,0.084968983,0.029905174,0.854620596,9.562608989,0.40985799
298050 KS,EMR UN,1268,1268,0.160217105,0.025938338,0.854569503,34.83688635,1.053576081
010620 KS,VMI UN,2183,2183,0.173525287,0.024607109,0.85450764,6.956560473,0.346954687
112610 KS,EMR UN,2183,2183,0.134950129,0.026696994,0.85384503,97.81884488,2.170736079
298020 KS,MWA UN,1268,1268,0.099660703,0.026085566,0.85343245,27.29582427,0.910078333
298050 KS,FELE UW,1268,1268,0.132208663,0.027041182,0.853359174,22.21763563,0.805680128
112610 KS,SHYF UW,2183,2183,0.058180818,0.032728563,0.853263969,25.77302241,1.415679837
010140 KS,NETI UN,2183,2183,0.088880475,0.03740374,0.853092431,9.675103916,0.324797392
028050 KS,WSC UR,1954,1954,0.081472578,0.025224284,0.852349892,32.05084718,1.097186415
