ranking,sector,ticker1,ticker2,corr_px,corr_r,corr_px**2,corr_r**2,corr**2_sum,name1,name2,corr**2_w_sum
1861,Financials,BUSE_UW,000810_KS,-0.647485362,0.419923343,0.419237294,0.176335614,0.595572908,First Busey Corp,"Samsung Fire & Marine Insurance Co., Ltd",0.22491595
1862,Consumer Discretionary,031430_KS,GT_UW,-0.761753733,0.368844131,0.58026875,0.136045993,0.716314743,"Shinsegae International Co., Ltd",Goodyear Tire & Rubber,0.224890544
1863,Financials,138930_KS,PFC_UW,-0.680526347,0.40649544,0.463116108,0.165238543,0.628354651,BNK Financial Group Inc,Premier Financial Corp.,0.224814056
1864,Industrials,294870_KS,CXT_UN,0.925453673,0.258618691,0.856464501,0.066883627,0.923348128,Hyundai Development Company,Crane Nxt,0.224799802
1865,Industrials,UFPI_UW,028260_KS,0.697028976,0.399420798,0.485849393,0.159536974,0.645386366,Universal Forest Products Inc,Samsung C&T Corporation,0.224799458
1866,Industrials,294870_KS,VRRM_UR,0.564556369,0.448684569,0.318723894,0.201317842,0.520041737,Hyundai Development Company,Verra Mobility Corporation - Class A,0.224799052
1867,Financials,HTBI_UW,016360_KS,-0.875894269,0.298619804,0.76719077,0.089173787,0.856364557,Hometrust Bancshares Inc,"Samsung Securities Co.,Ltd",0.224777184
1868,Industrials,FAST_UW,294870_KS,0.809194477,0.342435126,0.654795701,0.117261815,0.772057516,Fastenal,Hyundai Development Company,0.224768592
1869,Consumer Staples,007310_KS,KMB_UN,0.919392888,0.263851215,0.845283283,0.069617464,0.914900747,Ottogi Corporation,Kimberly Clark Corp,0.224750628
1870,Industrials,WNC_UN,028260_KS,0.476059153,0.473528463,0.226632317,0.224229205,0.450861522,Wabash National Corp,Samsung C&T Corporation,0.224709827
1871,Industrials,004800_KS,TNC_UN,0.277529926,0.51147619,0.07702286,0.261607893,0.338630753,Hyosung Corporation,Tennant,0.224690886
1872,Financials,032830_KS,HBCP_UW,-0.540794462,0.455792779,0.29245865,0.207747057,0.500205708,"Samsung Life Insurance Co., Ltd",Home Bancorp Inc,0.224689376
1873,Consumer Discretionary,031430_KS,ADNT_UN,0.873835798,0.299803827,0.763589001,0.089882335,0.853471336,"Shinsegae International Co., Ltd",Adient PLC,0.224623668
1874,Health Care,005250_KS,MEDP_UW,0.559860434,0.449808976,0.313443706,0.202328115,0.515771821,Green Cross Holdings Corporation,Medpace Holdings Inc,0.224551233
1875,Energy,267250_KS,KOS_UN,0.0,0.529757345,0.0,0.280642844,0.280642844,"Hyundai Heavy Industries Holdings Co., Ltd",Kosmos Energy Ltd,0.224514275
1876,Industrials,KAR_UN,047040_KS,0.702063594,0.396755855,0.49289329,0.157415209,0.650308499,Kar Auction Services Inc,"Daewoo Engineering & Construction Co., Ltd",0.224510825
1877,Industrials,047040_KS,GMS_UN,0.624605338,0.427882206,0.390131828,0.183083182,0.57321501,"Daewoo Engineering & Construction Co., Ltd",GMS Inc.,0.224492911
1878,Industrials,HSC_UN,017800_KS,0.736270745,0.380895842,0.54209461,0.145081642,0.687176253,Harsco Corp,"Hyundai Elevator Co., Ltd",0.224484236
1879,Financials,316140_KS,OMF_UN,0.564020343,0.448409697,0.318118947,0.201071256,0.519190203,Woori Financial Group Inc,Onemain Holdings Inc,0.224480794
1880,Industrials,KAMN_UN,375500_KS,0.0,0.529699898,0.0,0.280581982,0.280581982,Kaman Corp,Dl E&C Ltd,0.224465586
1881,Industrials,010620_KS,SKYW_UW,0.743513421,0.377219982,0.552812207,0.142294915,0.695107122,"Hyundai Mipo Dockyard Co., Ltd",Skywest Inc,0.224398373
1882,Industrials,AIN_UN,375500_KS,0.0,0.529616229,0.0,0.28049335,0.28049335,Albany International Corp Class A,Dl E&C Ltd,0.22439468
1883,Financials,016360_KS,PFS_UN,-0.843593092,0.320224945,0.711649305,0.102544015,0.81419332,"Samsung Securities Co.,Ltd",Provident Financial Services Inc,0.224365073
1884,Financials,000810_KS,QCRH_UQ,-0.734069454,0.3817602,0.538857963,0.14574085,0.684598813,"Samsung Fire & Marine Insurance Co., Ltd",QCR Holdings Inc,0.224364273
1885,Financials,000810_KS,FNLC_UW,-0.602808761,0.435344713,0.363378402,0.189525019,0.552903421,"Samsung Fire & Marine Insurance Co., Ltd",First Bancorp Inc.,0.224295696
1886,Consumer Discretionary,LNW_UW,271940_KS,0.424973599,0.484956279,0.18060256,0.235182593,0.415785152,"Light & Wonder, Inc.",Iljin HySolus Co Ltd,0.224266586
