Ticker,Bloomberg,MySQL,Name_kor,Name,Sector_kor,Sector,Industry_Group,Industry,Sub_Industry,Description
RNR,RNR UN,RNR_UN,르네상스리 홀딩스,Renaissancere Holding Ltd,금융,Financials,Insurance,Insurance,Reinsurance,"RenaissanceRe Holdings Ltd. is a global provider of reinsurance and insurance. The Company's business primarily consists of catastrophe reinsurance, specialty reinsurance, and individual risk business."
ROK,ROK UN,ROK_UN,로크웰 오토메이션,Rockwell Automation Inc,산업재,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm,"Rockwell Automation, Inc. produces industrial automation products. The Company offers products such as control systems, motor control devices, sensors, and industrial control panels. Rockwell Automation markets its products worldwide."
ROKU,ROKU UW,ROKU_UW,로쿠,Roku Class A,통신서비스,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment,"Roku, Inc. designs and manufactures consumer electronic products. The Company offers wireless enabled devices that stream audio and video content from the internet to home entertainment systems. Roku serves customers globally."
ROL,ROL UN,ROL_UN,롤린스,Rollins Inc,산업재,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Environmental & Facilities Ser,"Rollins, Inc., operates as a holding company. The Company, through its subsidiary, provides essential pest control services, including protection against termite damage, rodents, and insects. Rollins serves commercial and residential customers worldwide."
ROP,ROP UN,ROP_UN,로퍼 테크놀로지스,Roper Technologies Inc,테크놀로지,Information Technology,Software & Services,Software,Application Software,"Roper Technologies, Inc. manufactures and distributes industrial equipment. The Company offers industrial controls, fluid handling, pumps, medical and scientific devices, analytical instrumentation products, radio frequency identification (RFID) communication technology, and software solutions."
ROST,ROST UW,ROST_UW,로스 스토어스,Ross Stores Inc,임의소비재,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Apparel Retail,"Ross Stores, Inc. operates two brands of off-price retail apparel and home accessories stores. Ross Stores offers name brand and designer apparel, accessories, footwear, and home fashions at discount prices. Ross Stores serves customers in the United States."
RPM,RPM UN,RPM_UN,RPM 인터내셔널,RPM International Inc,소재,Materials,Materials,Chemicals,Specialty Chemicals,"RPM International, Inc. manufactures, markets, and sells various specialty chemical product lines. The Company's product lines include specialty paints, protective coatings and roofing systems, sealants and adhesives, focusing on the maintenance needs of both the industrial and consumer markets."
RPRX,RPRX UW,RPRX_UW,로열티 파마,Royalty Pharma plc - Class A,헬스케어,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,"Royalty Pharma plc acquires biopharmaceutical royalties. The Company funds innovation directly when it partners with companies to co-fund late-stage clinical trials and new product launches in exchange for future royalties, and indirectly when it acquires existing royalties from the original innovators."
RRC,RRC UN,RRC_UN,레인지 리소시스,Range Resources Corp,에너지,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,"Range Resources Corporation is an independent oil and gas company that explores, develops, and acquires oil and gas properties. The Company conducts operations primarily in the Southwestern, Appalachian, and Gulf Coast regions of the United States."
RRX,RRX UN,RRX_UN,리걸 렉스노드,Regal Rexnord Corporation,산업재,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm,"Regal Rexnord Corporation designs, manufactures, and sells electric motors and controls. The Company offers gearboxes, automotive transmissions, rotary cutting tools, automatic transfer switches, and electric generators. Regal Beloit markets its products to distributors, original equipment manufacturers, and end users worldwide."
RS,RS UN,RS_UN,릴라이언스 스틸 & 알루미늄,Reliance Steel & Aluminum,소재,Materials,Materials,Metals & Mining,Steel,"Reliance Steel & Aluminum Co. distributes and processes steel and aluminum. The Company's products include carbon, alloy, stainless and specialty steel, aluminum, brass, and copper. Reliance operates processing and distribution centers throughout the United States."
RSG,RSG UN,RSG_UN,리퍼블릭 서비스,Republic Services Inc,산업재,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Environmental & Facilities Ser,"Republic Services, Inc. provides non-hazardous solid waste collection and disposal services in the United States. The Company provides solid waste collection services for commercial, industrial, municipal, and residential customers. Republic also operates transfer stations, landfills, and recycling facilities."
RTX,RTX UN,RTX_UN,Rtx,Raytheon Technologies Corporation,산업재,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,"Raytheon Technologies Corporation operates as an aircraft manufacturing company. The Company focuses on technology offerings and engineering teams to deliver innovative solutions such as aero structures, avionics, interiors, mechanical systems, mission systems, aircraft engines, power and control systems, radars, software, and other products."
RUN,RUN UW,RUN_UW,선런,Sunrun Inc,산업재,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm,"Sunrun Inc. provides solar energy solutions. The Company sells, installs, monitors, and maintains battery and solar panels on homeowner's roofs to supply solar electricity. Sunrun serves customers in the United States."
RVTY,RVTY UN,RVTY_UN,레비티,Revvity Inc,헬스케어,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services,"Revvity, Inc. provides health science solutions, technologies, expertise, and services. The Company focuses on translational multi-omics technologies, biomarker identification, imaging, prediction, screening, detection and diagnosis, informatics, and other areas. Revvity serves pharmaceutical and biotech, clinical labs, academia, and governments worldwide."
RXO,RXO UN,RXO_UN,RXO,"RXO, Inc.",산업재,Industrials,Transportation,Ground Transportation,Cargo Ground Transportation,"RXO, Inc. provides transportation solutions. The Company specializes in freight forwarding, truckload, and supply chain management, as well as offers data science, technology operations, and machine learning solutions. RXO operates in the United States, Canada, and Mexico."
RYAN,RYAN UN,RYAN_UN,라이언 스페셜티 홀딩스,"Ryan Specialty Group Holdings, Inc.",금융,Financials,Insurance,Insurance,Insurance Brokers,"Ryan Specialty Holdings, Inc. operates as a holding company. The Company, through its subsidiaries, provides specialty insurance solutions for brokers, agents, and insurance carriers. Ryan Specialty Holdings serves customers worldwide."
RYN,RYN UN,RYN_UN,레이어니어,Rayonier Inc,부동산,Real Estate,Equity Real Estate Investment,Specialized REITs,Timber REITs,"Rayonier Inc. is an international forestry products company. The Company produces and sells cellulosic fibers, standing timber, real estate, and timberland acreage. Rayonier also produces logs and wood products, and medium density fiberboard, as well as owns, leases, and manages timberland and provides related management services."
S,S UN,S_UN,센티넬원,"SentinelOne, Inc.",테크놀로지,Information Technology,Software & Services,Software,Systems Software,"SentinelOne, Inc. operates as a software company. The Company develops security platforms to protect organizations against advanced threats and nation state malware. SentinelOne serves customers worldwide."
SAIC,SAIC UN,SAIC_UN,사이언스 애플리케이션스 인터내셔널,Science Applications International,산업재,Industrials,Commercial & Professional Serv,Professional Services,Research & Consulting Services,"Science Applications International Corp provides consulting services. The Company offers scientific, engineering, and technology applications and solutions to solve problems. Science Applications International serves security, energy, environmental, health, and infrastructure markets worldwide."
SAM,SAM UN,SAM_UN,보스턴 비어,Boston Beer Inc Class A,필수소비재,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Brewers,"The Boston Beer Company, Inc. produces a variety of craft-brewed beers and cider products at various contract breweries and Company-owned breweries. The Company sells its products under brand names such as Boston Beer Company, Oregon Beer and Brewing Company, Samuel Adams, and HardCore. Boston Beer sells its products to a network of wholesale distributors."
SBAC,SBAC UW,SBAC_UW,SBA 커뮤니케이션스,SBA Communications Corporation,부동산,Real Estate,Equity Real Estate Investment,Specialized REITs,Telecom Tower REITs,"SBA Communications Corporation owns and operates wireless communications infrastructure in the United States. The Company offers site leasing and development, construction, and consulting services. SBA Communications leases antenna space on its multi-tenant towers to a variety of wireless service providers under long-term lease contracts."
SBUX,SBUX UW,SBUX_UW,스타벅스,Starbucks Corp,임의소비재,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,"Starbucks Corporation is the premier roaster, marketer, and retailer of specialty coffee. The Company offers packaged and single-serve coffees and teas, beverage-related ingredients, and ready-to-drink beverages, as well as produces and sells bottled coffee drinks and a line of ice creams. Starbucks serves customers worldwide."
SCCO,SCCO UN,SCCO_UN,서던 코퍼,Southern Copper Corp,소재,Materials,Materials,Metals & Mining,Copper,"Southern Copper Corporation conducts mining operations in Peru and Mexico. The Company owns and operates open pit mines and metallurgical complexes that produce copper, molybdenum, zinc, and precious metals."
SCHW,SCHW UN,SCHW_UN,찰스 슈왑,Charles Schwab Corporation,금융,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage,"The Charles Schwab Corporation is a financial services company. The Company provides wealth and asset management, securities brokerage, banking, trading and research, custody, and financial advisory services. Charles Schwab serves customers worldwide."
SCI,SCI UN,SCI_UN,서비스 코퍼레이션 인터내셔널,Service Corporation International,임의소비재,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services,"Service Corporation International provides death care services. The Company offers funeral, cremation, and cemetery services. Service Corp International serves customers worldwide."
SEB,SEB UA,SEB_UA,씨보드,Seaboard Corp,필수소비재,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,"Seaboard Corporation is a diversified international agribusiness and transportation company that primarily produces and processes domestic pork and ships cargo. The Company also merchandises commodities, mills flour and feed, farms produce, produces sugar, and generates electric power overseas."
SEE,SEE UN,SEE_UN,실드에어,Sealed Air Corp,소재,Materials,Materials,Containers & Packaging,Paper & Plastic Packaging Prod,"Sealed Air Corporation manufactures packaging and performance-based materials and equipment systems that serve food, industrial, medical, and consumer applications."
SEIC,SEIC UW,SEIC_UW,SEI 인베스트먼트,SEI Investments,금융,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,"SEI Investments Company provides global investment solutions and business solutions. The Company integrates technology, research, information services, financial products, and asset management advice to serve banks, mutual fund and pension plan sponsors, insurance companies, money managers, and individual investors."
SF,SF UN,SF_UN,스티펄 파이낸셜,Stifel Financial Corp,금융,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage,"Stifel Financial Corp. is a financial services holding company whose subsidiaries serve individual and institutional clients in the U.S. and Europe. The Company's broker-dealer affiliates provide wealth management, investment banking, independent research, trading, investment advisory, and related financial services."
SGEN,SGEN UW,SGEN_UW,시젠,Seattle Genetics Inc,헬스케어,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,"Seagen Inc. operates as a biotechnology company. The Company discovers and develops monoclonal antibody-based drugs to treat cancer and related diseases, as well as offers antibody-drug conjugate technology designed to deliver cell-killing agents directly to tumor cells. Seagen serves customers worldwide."
SHC,SHC UW,SHC_UW,소테라 헬스,Sotera Health Co,헬스케어,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services,"Sotera Health Company provides health care services. The Company offers integrated health and sterilization services with the scientific expertise of Nelson Labs, Nordion, and Sterigenics. Sotera Healt serves customers in the United States."
SHW,SHW UN,SHW_UN,셔윈-윌리엄즈,Sherwin Williams,소재,Materials,Materials,Chemicals,Specialty Chemicals,"The Sherwin-Williams Company manufactures, distributes, and sells paints, coatings, and related products. The Company's products are sold to professional, industrial, commercial, and retail customers primarily in North and South America. Sherwin Williams also has additional operations in the Caribbean region, Europe, and Asia."
SIRI,SIRI UW,SIRI_UW,시리우스 XM 홀딩스,Sirius Xm Holdings Inc,통신서비스,Communication Services,Media & Entertainment,Media,Cable & Satellite,"Sirius XM Holdings Inc. broadcasts various channels of audio from its satellites. The Company provides its services throughout the continental United States for a monthly subscription fee. Sirius delivers various streams of commercial-free music in every genre, as well as streams of news, sports, weather, talk, comedy, and public radio."
SITE,SITE UN,SITE_UN,사이트원 랜드스케이프 서플라이,Siteone Landscape Supply Inc,산업재,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo,"SiteOne Landscape Supply, Inc. distributes landscape supplies. The Company offers products such as outdoor lighting, fertilizers, grass seeds, turf care equipment, and golf course accessories. SiteOne Landscape Supply markets its products in the United States and Canada."
SIX,SIX UN,SIX_UN,식스 플래그스 엔터테인먼트,Six Flags Entertainment Corp,임의소비재,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Leisure Facilities,"Six Flags Entertainment Corporation operates regional theme parks across North America. The Company has parks comprised of theme, water, and zoological parks. Six Flags Entertainment offer rides, water attractions, themed areas, concerts, shows, restaurants, game venues, and retail outlets."
SJM,SJM UN,SJM_UN,123700,J.M. Smucker,필수소비재,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,"The JM Smucker Company manufactures and markets food products on a worldwide basis. The Company's principal products include peanut butter, shortening and oils, fruit spreads, canned milk, baking mixes and ready-to-spread frostings, flour and baking ingredients, juices and beverages, frozen sandwiches, dessert toppings, syrups, pickles and condiments, and potato side dishes."
SKX,SKX UN,SKX_UN,스케처스 USA,Skechers USA Inc,임의소비재,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo",Footwear,"Skechers U.S.A., Inc. designs and markets branded contemporary casual, active, rugged, and lifestyle footwear for men, women, and children. The Company sells its products to department stores and specialty retailers. Skechers U.S.A. also sells its products internationally through distributors and directly to consumers through its own retail stores."
SLB,SLB UN,SLB_UN,슐럼버거,Schlumberger Nv,에너지,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,"Schlumberger N.V. is an oilfield services company. The Company, through its subsidiaries, provides a wide range of services, including technology, project management, and information solutions to the petroleum industry as well as advanced acquisition and data processing surveys. Schlumberger serves customers globally."
SLG,SLG UN,SLG_UN,SL 그린 리얼티,SL Green Realty Corp,부동산,Real Estate,Equity Real Estate Investment,Office REITs,Office REITs,"SL Green Realty Corp. is a fully integrated, self-administered, and self-managed real estate investment trust. The Trust is exclusively focused on owning and operating office buildings in Manhattan."
SLGN,SLGN UN,SLGN_UN,실간 홀딩스,Silgan Holdings Inc,소재,Materials,Materials,Containers & Packaging,"Metal, Glass & Plastic Contain","Silgan Holdings Inc. and its subsidiaries manufacture consumer goods packaging products. The Company currently produces steel and aluminum containers for human and pet food and custom designed plastic containers for various markets, plastic closures, caps, thermoformed plastic tubs, and specialty packaging items. Silgan markets its products in North America."
SLM,SLM UW,SLM_UW,SLM,Sallie Mae,금융,Financials,Financial Services,Consumer Finance,Consumer Finance,"SLM Corporation, commonly known as Sallie Mae, provides education funding, originating and servicing of U.S. government guaranteed and private student loans. The Company, through its subsidiaries, also provides debt management services and business and technical products to a range of clients including colleges, universities, and loan guarantors."
SMAR,SMAR UN,SMAR_UN,스마트시트,Smartsheet Inc. Class A,테크놀로지,Information Technology,Software & Services,Software,Application Software,"Smartsheet Inc. designs and develops software solutions. The Company offers cloud-based platform for work execution and management which enables teams and organizations to plan, capture, manage, automate, and improve business outcomes. Smartsheet serves customers in the United States."
SMG,SMG UN,SMG_UN,스코츠 미러클 그로,Scotts Miracle Gro,소재,Materials,Materials,Chemicals,Fertilizers & Agricultural Che,"The Scotts Miracle-Gro Company markets branded consumer lawn and garden products, as well as a full range of products for professional horticulture. The Company manufactures and markets fertilizers, pest controls, plant foods, gardening soils, grass seed, and other products in North America and Europe. Scotts Miracle-Gro also provides lawn service in the United States."
SNA,SNA UN,SNA_UN,스냅-온,Snap On Inc,산업재,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie,"Snap-on Incorporated develops, manufactures, and distributes tool and equipment solutions worldwide. The Company provides hand and power tools, diagnostics and shop equipment, tool storage products, diagnostics software, and other solutions for the automotive service industry. Snap-on serves customers in the United States."
SNDR,SNDR UN,SNDR_UN,슈나이더 내셔널,Schneider National Inc Class B,산업재,Industrials,Transportation,Ground Transportation,Cargo Ground Transportation,"Schneider National, Inc. operates as a transportation and logistics services company. The Company offers a broad portfolio of premier truckload, intermodal, and logistics solutions, as well as manages hire trucking fleets in North America. Schneider National provides asset-based truckload services with asset-light intermodal and non-asset logistics offerings."
SNOW,SNOW UN,SNOW_UN,스노우플레이크,Snowflake Inc. Class A,테크놀로지,Information Technology,Software & Services,IT Services,Internet Services & Infrastruc,"Snowflake Inc. provides software solutions. The Company develops database architecture, data warehouses, query optimization, and parallelization solutions. Snowflake serves customers worldwide."
SNPS,SNPS UW,SNPS_UW,시놉시스,Synopsys Inc,테크놀로지,Information Technology,Software & Services,Software,Application Software,"Synopsys, Inc. supplies electronic design automation solutions to the global electronics market. The Company provides design technologies to creators of advanced integrated circuits, electronic systems, and systems on a chip. Synopsys also provides consulting services and support to its customers to streamline the overall design process and accelerate time to market."
SNV,SNV UN,SNV_UN,시노버스 파이낸셜,Synovus Financial Corp,금융,Financials,Banks,Banks,Regional Banks,"Synovus Financial Corp. provides financial services. The Company offers commercial, retail banking, and investment services. Synovus Financial serves customers in the United States."
SNX,SNX UN,SNX_UN,TD 시넥스,Synnex Corp,테크놀로지,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Technology Distributors,"TD SYNNEX Corp provides information technology supply chain services. The Company offers services to original equipment manufacturers and software publishers worldwide. TD SYNNEX offers product distribution, related logistics, and contract assembly services."
SO,SO UN,SO_UN,서던,Southern Co,유틸리티,Utilities,Utilities,Electric Utilities,Electric Utilities,"The Southern Company is a public utility holding company. The Company, through its subsidiaries, generates, wholesales, and retails electricity in the southeastern United States. The Company also offers wireless telecommunications services, and provides businesses with two-way radio, telephone, paging, and internet access services, as well as wholesales fiber optic solutions."
SOFI,SOFI UW,SOFI_UW,소파이 테크놀로지스,"SoFi Technologies, Inc.",금융,Financials,Financial Services,Consumer Finance,Consumer Finance,"SoFi Technologies, Inc. is an online personal finance company and online bank. The Company provides financial products including student and auto loan refinancing, mortgages, personal loans, credit card, investing, and banking through both mobile app and desktop interfaces. SoFi Technologies serves customers in the United States."
SON,SON UN,SON_UN,소노코 프로덕트,Sonoco Products,소재,Materials,Materials,Containers & Packaging,Paper & Plastic Packaging Prod,"Sonoco Products Company manufactures industrial and consumer packaging solutions for customers around the world. The Company's products include flexible packaging, high density film products, and folding cartons. Sonoco Products also has an integrated network of global technology centers focused on materials science, packaging engineering, and process improvement."
SPB,SPB UN,SPB_UN,스펙트럼 브랜즈 홀딩스,Spectrum Brands Holdings Inc,필수소비재,Consumer Staples,Household & Personal Products,Household Products,Household Products,"Spectrum Brands Holdings, Inc. operates as a holding company. The Company, through its subsidiaries, supplies consumer batteries, residential lock sets, builders hardware, faucets, personal care, household appliances, specialty pet supplies, lawn and garden accessories, and pest control products. Spectrum Brands Holdings serves customers worldwide."
SPG,SPG UN,SPG_UN,058610,"Simon Property Group, Inc",부동산,Real Estate,Equity Real Estate Investment,Retail REITs,Retail REITs,"Simon Property Group, Inc. is a self-administered and self-managed, real estate investment trust. The Company owns, develops, and manages retail real estate properties including regional malls, outlet centers, community/lifestyle centers, and international properties. Simon Property Group serves customers in the State of Indiana."
SPGI,SPGI UN,SPGI_UN,S&P 글로벌,S&P Global Inc,금융,Financials,Financial Services,Capital Markets,Financial Exchanges & Data,"S&P Global Inc. provides clients with financial information services. The Company offers information regarding ratings, benchmarks, and analytics in the global capital and commodity markets. S&P Global operates worldwide."
SPLK,SPLK UW,SPLK_UW,스플렁크,Splunk Inc,테크놀로지,Information Technology,Software & Services,Software,Application Software,"Splunk Inc. develops web based application software. The Company provides software that collects and analyzes machine data generated by websites, applications, servers, networks, and mobile devices. Splunk serves customers worldwide."
SPOT,SPOT UN,SPOT_UN,스포티파이 테크놀러지,Spotify Technology SA,통신서비스,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment,Spotify Technology S.A. provides entertainment services. The Company offers commercial free music and audio streaming solutions to subscribers as well as provides content design services. Spotify Technology serves clients worldwide.
SPR,SPR UN,SPR_UN,스피리트 에어로시스템즈 홀딩스,Spirit Aerosystems Inc,산업재,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,"Spirit AeroSystems Holdings, Inc. operates as a holding company. The Company, through its subsidiaries, designs and manufactures aerostructures including fuselages, propulsion systems, and wing systems for commercial and military aircrafts. Spirit AeroSystems serves clients globally."
SQ,SQ UN,SQ_UN,블록,Square Inc Class A,금융,Financials,Financial Services,Financial Services,Transaction & Payment Processi,"Block, Inc. operates as a financial services and digital payments company. The Company develops a payments platform aimed at small and medium businesses that allows them to accept credit card payments and use tablet computers as payment registers for a point-of-sale system. Block also provides financial and marketing services."
SRC,SRC UN,SRC_UN,스피릿 리얼티 캐피털,"Spirit Realty Capital, Inc",부동산,Real Estate,Equity Real Estate Investment,Retail REITs,Retail REITs,"Spirit Realty Capital, Inc. operates as a real estate investment trust. The Trust invests in single-tenant and triple-net basis real estate properties engaged in retail, service, and distribution industries. Spirit Realty Capital serves customers in the United States."
SRCL,SRCL UW,SRCL_UW,스테리사이클,Stericycle Inc,산업재,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Environmental & Facilities Ser,"Stericycle, Inc. is a business-to-business services company. The Company provides solutions for regulated waste disposal, compliance, and secure information destruction services. Stericycle serves healthcare organizations and commercial businesses worldwide."
SRE,SRE UN,SRE_UN,셈프라,Sempra Energy,유틸리티,Utilities,Utilities,Multi-Utilities,Multi-Utilities,"Sempra Energy operates as an energy infrastructure company. The Company focuses on delivering sustainable energy to consumers, as well as invests in, develops, and operates transmission and distribution infrastructure in North America including California, Texas, Mexico, and the LNG export market."
SRPT,SRPT UW,SRPT_UW,사렙타 테라퓨틱스,Sarepta Therapeutics Inc,헬스케어,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,"Sarepta Therapeutics, Inc. is a biopharmaceutical company focused on the discovery and development of unique RNA-based therapeutics for the treatment of both rare and infectious diseases. The Company offers its products to the medical industry in countries around the world."
SSNC,SSNC UW,SSNC_UW,SS&C 테크놀로지스 홀딩스,"SS&C Technologies Holdings, Inc.",산업재,Industrials,Commercial & Professional Serv,Professional Services,Data Processing & Outsourced S,"SS&C Technologies Holdings, Inc. develops and markets computer software for financial services providers. The software enables trading and modeling, portfolio management and reporting, accounting, performance measurement, reconciliation, reporting, processing, and clearing."
SSRM,SSRM UW,SSRM_UW,SSR 마이닝,SSR Mining Inc.,소재,Materials,Materials,Metals & Mining,Gold,"SSR Mining Inc. operates as a precious metal mining company. The Company focuses on operation, development, exploration, and acquisition of precious metal projects which includes gold, silver, and mineral properties. SSR Mining serves electronics, coin fabrication, dentistry, jewelry, other industrial, technology, pharmaceuticals, and solar energy markets in the Americas."
ST,ST UN,ST_UN,센사타 테크놀로지스 홀딩,Sensata Technologies Holding Nv,산업재,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm,"Sensata Technologies Holding plc manufactures and distributes electronic components. The Company offers automotive sensors, motor protectors, circuit breakers, thermostats, pressure sensors, and switches. Sensata Technologies Holding serves energy, aerospace, agriculture, automotive, and construction industries worldwide."
STE,STE UN,STE_UN,스테리스,STERIS PLC,헬스케어,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment,"STERIS Public Limited Company operates as a provider of infection prevention and other procedural products and services. The Company offers sterilizers and washers, surgical tables, lights and equipment management systems, and endoscopy accessories. STERIS serves healthcare, pharmaceutical, and medical device industries."
STLD,STLD UW,STLD_UW,스틸 다이내믹스,Steel Dynamics Inc,소재,Materials,Materials,Metals & Mining,Steel,"Steel Dynamics, Inc. is a diversified carbon-steel producer and metals recycler in the United States. The Company's operating segments include steel operations, metals recycling and ferrous resources operations, and steel fabrication operations. Steel Dynamics products include flat rolled steel sheet, engineered bar special-bar-quality, and structural beams."
STT,STT UN,STT_UN,스테이트 스트리트,State Street Corp,금융,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,"State Street Corporation services institutional investors and manages financial assets worldwide. The Company's products and services include custody, accounting, administration, daily pricing, international exchange services, cash management, financial asset management, securities lending, and investment advisory services."
STWD,STWD UN,STWD_UN,스타우드 프로퍼티 트러스트,Starwood Property Trust Inc,금융,Financials,Financial Services,Mortgage Real Estate Investmen,Mortgage REITs,"Starwood Property Trust, Inc. is a real estate investment company. The Company originates and invests in commercial mortgage loans and other commercial real estate debt investments, commercial mortgage-backed securities, and other commercial real estate-related debt investments. Starwood may also invest in residential mortgage loans and residential mortgage-backed securities."
STZ,STZ UN,STZ_UN,컨스텔레이션 브랜즈,Constellation Brands Class A,필수소비재,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Distillers & Vintners,"Constellation Brands, Inc. operates as a beverage company. The Company produces and markets beer, wine, and spirits. Constellation Brands serves customers worldwide."
SUI,SUI UN,SUI_UN,선 커뮤니티즈,"Sun Communities, Inc",부동산,Real Estate,Equity Real Estate Investment,Residential REITs,Single-Family Residential REIT,"Sun Communities, Inc. is a real estate investment trust that currently owns and operates a portfolio of manufactured housing communities primarily in the midwest and southeast United States."
SWK,SWK UN,SWK_UN,스탠리 블랙 & 데커,Stanley Black & Decker Inc,산업재,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie,"Stanley Black & Decker, Inc. is a diversified global provider of hand tools, power tools and related accessories, mechanical access and electronic security solutions, healthcare solutions, engineered fastening systems, and more. The Company onshore and offshore pipeline construction and inspection services."
SWKS,SWKS UW,SWKS_UW,스카이웍스 솔루션스,Skyworks Solutions Inc,테크놀로지,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,"Skyworks Solutions, Inc. a wireless semiconductor company, designs and manufactures radio frequency and complete semiconductor system solutions for mobile communications applications. The Company provides front-end modules, radio frequency subsystems, and system solutions to wireless handset and infrastructure customers worldwide."
SWN,SWN UN,SWN_UN,사우스웨스턴 에너지,Southwestern Energy,에너지,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,"Southwestern Energy Company is an independent energy company. The Company primarily focused on natural gas and crude oil exploration, development and production (E&P). Southwestern Energy serves customers in the State of Texas."
SYF,SYF UN,SYF_UN,싱크로니 파이낸셜,Synchrony Financial,금융,Financials,Financial Services,Consumer Finance,Consumer Finance,"Synchrony Financial operates as a consumer financial services company. The Company provides a range of credit products through programs we have established with a diverse group of national and regional retailers, local merchants, manufacturers, buying groups, industry associations, and healthcare service providers."
SYK,SYK UN,SYK_UN,스트라이커,Stryker Corp,헬스케어,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment,"Stryker Corporation develops, manufactures, and markets specialty surgical and medical products. The Company's products include implants, biologics, surgical, neurologic, ear, nose and throat and interventional pain equipment, endoscopic, surgical navigation, communications and digital imaging systems, as well as patient handling and emergency medical equipment."
SYNH,SYNH UW,SYNH_UW,시네오스 헬스,Syneos Health Inc,헬스케어,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services,"Syneos Health, Inc. operates as a biopharmaceutical solutions organization. The Company offers therapeutic expertise, bioanalytics solutions, clinical development services, medical devices, diagnostics, and commercialization. Syneos Health serves patients worldwide."
SYY,SYY UN,SYY_UN,시스코,Sysco Corp,필수소비재,Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Food Distributors,"Sysco Corporation distributes food and related products primarily to the foodservice industry. The Company also distributes personal care guest amenities, housekeeping supplies, room accessories, and textiles to the lodging industry. Sysco serves customers in the United States."
T,T UN,T_UN,AT&T,AT&T Inc.,통신서비스,Communication Services,Telecommunication Services,Diversified Telecommunication,Integrated Telecommunication S,"AT&T Inc. operates as a communications holding company. The Company, through its subsidiaries and affiliates, provides local and long-distance phone, wireless and data communications, Internet access and messaging, IP-based and satellite television, telecommunications equipment, and directory advertising and publishing services."
TAP,TAP UN,TAP_UN,몰슨 쿠어스 베버리지 Class B,Molson Coors Brewing Class B,필수소비재,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Brewers,Molson Coors Beverage Company operates as a  beverage company. The Company brews and produces beer. Molson Coors Brewing serves customers worldwide.
TDC,TDC UN,TDC_UN,테라데이타,Teradata Corp,테크놀로지,Information Technology,Software & Services,Software,Systems Software,"Teradata Corporation operates as a database management company in the technology industry. The company offers analytic data solutions through integrated data warehousing, big data analytics, and business applications. Teradata collaborates with leading innovators in software, technology, and integration services."
