Ticker,Bloomberg,MySQL,Name_kor,Name,Sector_kor,Sector,Industry_Group,Industry,Sub_Industry,Description
000880,000880 KS,000880_KS,한화,Hanwha Corporation,산업재,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,"Hanwha Corporation imports and exports petrochemicals, machinery, automotives, electronics, and steel.  The Company also produces explosives for the defense and construction industries.  In addition, Hanwha manufactures automotive airbag inflators and telecommunication equipment, such as wireless phones and provides financial services through its subsidiaries."
000990,000990 KS,000990_KS,DB하이텍,"DB Hitek Co., Ltd",테크놀로지,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,"DB HiTek Co., Ltd. manufactures and distributes semiconductor products. The Company produces cosf efficient cmos image sensor, lcd driver ic devices, and other related products. DB HiTek markets its products worldwide."
001040,001040 KS,001040_KS,CJ,CJ Corporation,산업재,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,"CJ Corporation operates as an investment holding company. The Company, through its subsidiaries, manufactures and distributes processed food products. CJ also operates bio business, television home shopping, global K-Pop broadcasting station, logistics business, movie theater, and other businesses."
001120,001120 KS,001120_KS,LX인터내셔널,LX International Corp,산업재,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo,"LX INTERNATIONAL CORP. is a commodity trading and mining company.  The Company develops and trades coal, oil, gas, non-ferrous metals, palm oil, and renewable energy. LX INTERNATIONAL also trades IT related component/equipment, petrochemical and steel product."
001230,001230 KS,001230_KS,동국홀딩스,Dongkuk Steel Mill Company Limited,소재,Materials,Materials,Metals & Mining,Steel,"Dongkuk Holdings Co.,Ltd. manufactures and distributes steel products.  The Company produces thick plate, reinforcing bar, steel plate, section steel, angle, channel, flat iron, and other related products. Dongkuk Holdings markets its products throughout South Korea."
001440,001440 KS,001440_KS,대한전선,"Taihan Electric Wire Co., Ltd",산업재,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm,"Taihan Electric Wire Co., Ltd. manufactures a wide range of cables and wires, such as power, communications, copper rod, and enameled cables and wires.  The Company also produces stainless steel sheets and aluminum products including coils, sheets, and plates.  In addition, Taihan Electric offers information and communications equipment, such as optical transmission and network systems."
001450,001450 KS,001450_KS,현대해상,Hyundai Marine & Fire Insurance Co. Ltd,금융,Financials,Insurance,Insurance,Property & Casualty Insurance,"Hyundai Marine & Fire Insurance Co., Ltd. (HDMF) is a property and casualty insurer.  The Company's products include auto, fire, marine, general liability, leisure, travel, pension, and medical insurances."
001680,001680 KS,001680_KS,대상,Daesang Corporation,필수소비재,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,"Daesang Corporation manufactures food seasonings, fermentations, sweeteners, starches, coffee, fodder, and bulk pharmaceutical ingredients.  The Company also constructs commercial buildings, infrastructures, and environmental facilities."
001740,001740 KS,001740_KS,SK네트웍스,SK Networks Company Limited,산업재,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo,"SK Networks Co., Ltd. operates as a mobile device distributor. The Company markets mobile phones and in circuit tester devices. SK Networks also conducts integrated logistics businesses, energy and chemical, steel and automotive product global trading, car rentals and maintenance, and other businesses."
001800,001800 KS,001800_KS,오리온홀딩스,ORION Holdings Corp,필수소비재,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,"Orion Holdings Corp. manufactures snacks products. The Company produces and sells candies, gums, chocolates, pies, and other products. Orion Holdings also develops smart systems. Orion Holdings serves customers worldwide."
002380,002380 KS,002380_KS,KCC,KCC Corporation,소재,Materials,Materials,Chemicals,Diversified Chemicals,"KCC Corporation manufactures paint and related product, building materials such as cement corrugated sheet, glass wool mat, and board and pipe cover, PVC window profile, paints, and ceramic fiber for high temperature applications. The Company also produces various glasses such as glass fiber, float glass, patterned glass, safety tempered glass, and long glass fibers."
002790,002790 KS,002790_KS,아모레G,AMOREPACIFIC Group,필수소비재,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products,"AMOREPACIFIC Group is an investment holding company. The Company, through its subsidiaries, produce cosmetics and toiletries."
003090,003090 KS,003090_KS,대웅,"Daewoong Co., Ltd",헬스케어,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,"Daewoong Co., Ltd. is a investment holding company which operates biotechnology, marketing system, and healthcare entities.  The Company also invests and develops over-the-counter drugs (OTC)."
003230,003230 KS,003230_KS,삼양식품,"Samyang Foods Co., Ltd",필수소비재,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,"Samyang Foods Co., Ltd. manufactures instant and processed food products, such as noodles, snacks, cooking oil, and feed.  The Company also produces dairy goods including milk, cheese, and ice cream."
003240,003240 KS,003240_KS,태광산업,"Taekwang Industrial Co., Ltd",소재,Materials,Materials,Chemicals,Commodity Chemicals,"Taekwang Industrial Co., Ltd. manufactures synthetic yarns, petrochemical products, and textiles.  The Company's products include acrylic yarns, nylons, spandex, carbon fibers, spun yarns, polyester materials, and blankets.  Taekwang also produces electric equipment, such as audio equipment, and cordless telephones.  In addition, The Company operates real estate business."
003410,003410 KS,003410_KS,쌍용C&E,"Ssangyong Cement Industrial Co., Ltd",소재,Materials,Materials,Construction Materials,Construction Materials,"SSANGYONG C&E. Co.,Ltd. produces cement and ready-mixed concrete. The Company also manufactures fine ceramics for industrial uses and ferrite magnets for components used in audio equipment. SSANGYONG C&E also develops housing, plant engineering, environmental resources, and leisure businesses."
003490,003490 KS,003490_KS,대한항공,"Korean Air Lines Co.,Ltd",산업재,Industrials,Transportation,Passenger Airlines,Passenger Airlines,"Korean Air Lines Co., Ltd. operates air transportation services.  The Company's services include passenger and cargo transportation, aircraft maintenance, and air catering.  Korean Air Lines provides domestic and international airline services."
003550,003550 KS,003550_KS,LG,LG Corp,산업재,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,"LG Corp. is a holding company, which operates subsidiaries including LG Electronics, LG Household & Health Care, LG Chem Ltd., and Dacom Corp. The Company's main business areas are electronics, chemicals, and household products manufacturing and telecommunications services."
003670,003670 KS,003670_KS,포스코퓨처엠,Posco Chemical Co Ltd,소재,Materials,Materials,Construction Materials,Construction Materials,"Posco Future M Co., Ltd. manufactures and distributes energy materials. The Company produces battery materials, advanced chemical materials, basic industrial materials, and other related products. Posco Future M also produces lime chemical and refractory products."
003850,003850 KS,003850_KS,보령,Boryung Pharmaceutical Ltd,헬스케어,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,"Boryung Corporation operates as a pharmaceutical manufacturing company. The Company produces kanarb, stogar, maxipime, gemzar, genexol, xeloda, antibiotics, cancer drugs, prescription drugs, and other related products. Boryung markets its products worldwide."
004000,004000 KS,004000_KS,롯데정밀화학,"LOTTE Fine Chemical Co., Ltd",소재,Materials,Materials,Chemicals,Diversified Chemicals,"LOTTE Fine Chemical Co., Ltd. produces general and fine chemicals. The Company produces ammonia, epichlorohydrin, caustic soda, and dimethylformamide. LOTTE Fine Chemical also manufactures chemicals used in pharmaceutical and paint manufacturing areas."
004020,004020 KS,004020_KS,현대제철,Hyundai Steel Company,소재,Materials,Materials,Metals & Mining,Steel,"Hyundai Steel Company manufactures various types of steel products. The Company produces steel bars, H-beams as well as hot rolled steel, cold rolled steel, and other steel sheet products. Hyundai Steel sells its products to the domestic and overseas markets."
004170,004170 KS,004170_KS,신세계,Shinsegae Inc,임의소비재,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail,"SHINSEGAE Inc. operates department stores in South Korea.  The Company retails food, clothing, household goods, electronics, and other items through several branch stores."
004370,004370 KS,004370_KS,농심,"Nongshim Co., Ltd",필수소비재,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,"Nongshim Co., Ltd. manufactures, and markets instant noodles, snacks, and beverages.  The Company also produces refined palm oil and food ingredients."
004490,004490 KS,004490_KS,세방전지,"Sebang Global Battery Co., Ltd",임의소비재,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment,"Sebang Global Battery Co., Ltd. specializes in manufacturing storage batteries used in automobiles, motorcycles, electric vehicles, and industrial machinery such as excavators and bulldozers.  The Company provides its products to domestic and overseas markets."
004800,004800 KS,004800_KS,효성,Hyosung Corporation,산업재,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,"Hyosung Corporation manufactures and distributes fiber products. The Company produces terylene, viscose fiber, carbon fiber, acetate fiber, and other related products. Hyosung also operates textile, heavy industry, industrial materials, chemicals, and other businesses."
004990,004990 KS,004990_KS,롯데지주,LOTTE Corporation,산업재,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,"Lotte Corporation operates as a food manufacturing company. The Company produces and sells chewing gum, candy products, biscuits, chocolates, pastrries, and other products. Lotte markets its products worldwide."
005250,005250 KS,005250_KS,녹십자홀딩스,Green Cross Holdings Corporation,헬스케어,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,"Green Cross Holdings Corporation is a holding company, which operates pharmaceutical, biotechnology, distribution system, life insurance, and healthcare entities.  The Company also invests in biotechnology venture capital and markets medical research information."
005300,005300 KS,005300_KS,롯데칠성,"Lotte Chilsung Beverage Co.,Ltd",필수소비재,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks & Non-alcoholic Be,"Lotte Chilsung Beverage Co., Ltd. manufactures alcoholic and non-alcoholic beverages such as carbonic acid drinks, fruit juices, soybean drinks, teas, and traditional health beverages."
005380,005380 KS,005380_KS,현대차,Hyundai Motor Company,임의소비재,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers,"Hyundai Motor Company manufactures, sells, and exports passenger cars, trucks, and commercial vehicles. The Company also sells various auto parts and operates auto repair service centers throughout South Korea. Hyundai Motor provides financial services through its subsidiaries."
005490,005490 KS,005490_KS,POSCO홀딩스,POSCO,소재,Materials,Materials,Metals & Mining,Steel,"POSCO Holdings Inc. manufactures and distributes steel products. The Company produces crude steels, hot rolled steels, cold rolled steels, stainless steels, steel plates, wire rods, galvanized steels, electrical steels, and other related products. POSCO Holdings markets its products worldwide."
005830,005830 KS,005830_KS,DB손해보험,"DB Insurance Co., Ltd",금융,Financials,Insurance,Insurance,Property & Casualty Insurance,"DB Insurance Co.,Ltd provides insurance services. The Company offers automotive insurance, long term casualty insurance, property insurance, fire and marine insurance, and other services. DB Insurance provides services in Korea."
