,last_update_date
BDX_UN,20230601
BEN_UN,20230601
BEPC_UN,20230601
BERY_UN,20230601
BF_A_UN,20230601
BF_B_UN,20230601
BFAM_UN,20230601
BG_UN,20230601
BHF_UW,20230601
BIIB_UW,20230601
BILL_UN,20230601
BIO_UN,20230601
BJ_UN,20230601
BK_UN,20230601
BKI_UN,20230601
BKNG_UW,20230601
BKR_UW,20230601
BLD_UN,20230601
BLDR_UN,20230601
BLK_UN,20230601
BMRN_UW,20230601
BMY_UN,20230601
BOH_UN,20230601
BOKF_UW,20230601
BPOP_UW,20230601
BR_UN,20230601
BRK_B_UN,20230601
BRKR_UW,20230601
BRO_UN,20230601
BRX_UN,20230601
BSX_UN,20230601
BSY_UW,20230601
BURL_UN,20230601
BWA_UN,20230601
BWXT_UN,20230601
BX_UN,20230601
BXP_UN,20230601
BYD_UN,20230601
C_UN,20230601
CABO_UN,20230601
CACC_UW,20230601
CACI_UN,20230601
CAG_UN,20230601
CAH_UN,20230601
CAR_UW,20230601
CARR_UN,20230601
CASY_UW,20230601
CAT_UN,20230601
CB_UN,20230601
CBOE_UF,20230601
CBRE_UN,20230601
CBSH_UW,20230601
CC_UN,20230601
CCCS_UW,20230601
CCI_UN,20230601
CCK_UN,20230601
CCL_UN,20230601
CDAY_UN,20230601
CDNS_UW,20230601
CDW_UW,20230601
CE_UN,20230601
CEG_UW,20230601
CERT_UW,20230601
CF_UN,20230601
CFG_UN,20230601
CFLT_UW,20230601
CFR_UN,20230601
CG_UW,20230601
CGNX_UW,20230601
CHD_UN,20230601
CHDN_UW,20230601
CHE_UN,20230601
CHH_UN,20230601
CHK_UW,20230601
CHPT_UN,20230601
CHRW_UW,20230601
CHTR_UW,20230601
CI_UN,20230601
CIEN_UN,20230601
CINF_UW,20230601
CL_UN,20230601
CLF_UN,20230601
CLH_UN,20230601
CLVT_UN,20230601
CLX_UN,20230601
CMA_UN,20230601
CMCSA_UW,20230601
CME_UW,20230601
CMG_UN,20230601
CMI_UN,20230601
CMS_UN,20230601
