kospi_ticker,russell_ticker,corr,distance,rmse,ks_len,rs_len
000660 KS,AAPL UW,0.8042510573778558,81.54239337886094,1.8791319158334783,2183,2183
000660 KS,ACN UN,0.855274377559869,21.409142401884097,0.7470662573408572,2183,2183
000660 KS,ADBE UW,0.8758921086924978,109.81319638665498,2.8677145337159917,2183,2183
000660 KS,ADI UW,0.8612120405114558,15.574470787917289,0.5239858659922123,2183,2183
000660 KS,ADP UW,0.7968580072545115,11.636331993176027,0.4289741700037959,2183,2183
000660 KS,ADSK UW,0.902196281584148,40.852453971895216,1.305939019347551,2183,2183
000660 KS,AFRM UW,0.5636385956434502,8.485719782755073,0.46072843681898173,621,621
000660 KS,AKAM UW,0.7935855442256059,14.343843647926407,0.5211260494045243,2183,2183
000660 KS,ALGM UW,-0.21229086017062695,10.276439240284873,0.5541704774062013,673,673
000660 KS,AMAT UW,0.8717086900178805,55.04862529180374,1.4478093848736229,2183,2183
000660 KS,AMD UW,0.824240126814908,932.7573542395153,20.277760960859567,2183,2183
000660 KS,ANET UN,0.7596881930557882,131.63428336290337,3.1393850961909577,2183,2183
000660 KS,ANSS UW,0.8928697347965036,31.605130652297362,1.1409420758405044,2183,2183
000660 KS,APH UN,0.8505886053224048,12.190103888177623,0.4286755584142714,2183,2183
000660 KS,APP UW,0.759511408077515,6.466651119741996,0.3570106376667949,555,555
000660 KS,ARW UN,0.8158223492295233,8.015056818951223,0.39759074316029946,2183,2183
000660 KS,AVGO UW,0.8163111689258491,79.02604239587535,1.924355937864096,2183,2183
000660 KS,AVT UW,0.057434317818144384,5.236056455897304,0.3049169250999057,1316,1316
000660 KS,AYX UN,0.22908427583290664,117.29343841361974,3.7316366082893184,1606,1606
000660 KS,AZPN UW,-0.3769525760240327,3.5349575325495937,0.37546789039111206,272,272
000660 KS,BILL UN,0.5488952316902737,89.821986164397,3.286043692393789,901,901
000660 KS,BKI UN,0.8377832182562,7.063673234536704,0.5107117550473801,2085,2085
000660 KS,BR UN,0.8870087465254276,24.239034935855255,0.9112999097872149,2183,2183
000660 KS,BSY UW,0.4097306584431387,2.243710983044064,0.29025169849574867,699,699
000660 KS,CCCS UW,0.7989838327244954,0.5203641370376623,0.11039067612548698,118,118
000660 KS,CDAY UN,0.6623045848837551,33.071244014739314,1.2391869741856827,1324,1324
000660 KS,CDNS UW,0.769162446813993,165.12768108752843,3.734481066328487,2183,2183
000660 KS,CDW UW,0.8481629413984733,71.20039683393279,1.777536948748926,2183,2183
000660 KS,CFLT UW,0.649566722726694,6.015293736085941,0.36629995255369857,505,505
000660 KS,CGNX UW,0.8971395524319898,19.26473039550417,0.9235544652879545,2183,2183
000660 KS,CIEN UN,0.8356357950158779,8.454971934260204,0.4927638891267883,2183,2183
000660 KS,CNXC UW,0.3608652385638295,5.326306449333984,0.4632504045919676,650,650
000660 KS,COHR UN,0.8607103125587224,5.021597629118211,0.29617784780449435,1325,1325
000660 KS,CRM UN,0.8515369689416836,24.84740750155299,1.0518421130595095,2183,2183
000660 KS,CRUS UW,0.770369059289989,26.568083727198186,1.0342953605458682,2183,2183
000660 KS,CRWD UW,0.7100964124137881,31.95555112187226,1.3963302865949252,1032,1032
000660 KS,CSCO UW,0.816104878309498,7.42694409969481,0.38943481304415917,2183,2183
000660 KS,CTSH UW,0.6312099134856636,19.20737087120571,0.6106835074295713,2183,2183
000660 KS,CXT UN,0.6556400538663021,9.895251744078335,0.5248635936908994,2183,2183
000660 KS,DBX UW,0.24036138350530062,6.725923182639719,0.37688770044681336,1348,1348
000660 KS,DDOG UW,0.5389733177686942,37.30587097939452,1.5311801650976893,961,961
000660 KS,DELL UN,0.7074558724586237,3.4318273152970944,0.36294916238258723,1151,1151
000660 KS,DLB UN,0.9163668267635946,6.452810248693983,0.3104128298378352,2183,2183
000660 KS,DOCU UW,0.6097263673126895,85.5661239924254,2.650858471016735,1323,1323
000660 KS,DOX UW,0.682080180557135,11.961557395537426,0.5052282901095906,2183,2183
000660 KS,DT UN,0.5756418849267537,11.738295549141446,0.6430167203996422,996,996
000660 KS,DV UN,0.41496725806766666,1.1001442555013823,0.1429077133924161,551,551
000660 KS,DXC UN,-0.447694994331828,43.44597017963376,1.3611389158586746,1612,1612
000660 KS,EEFT UW,0.6897126176974244,5.686251110250615,0.5436852581167388,2183,2183
000660 KS,ENPH UQ,0.6592190667294582,316.7058684938243,6.896522189013895,2183,2183
000660 KS,ENTG UW,0.878358509135277,149.42311243938065,3.4743324481787123,2183,2183
000660 KS,EPAM UN,0.7940533661164939,178.06309987348172,4.1855422760587935,2183,2183
000660 KS,ESTC UN,0.5714357391630721,5.9450402285282555,0.38560069546028636,1208,1208
000660 KS,FFIV UW,0.7837105910821941,17.05588162415601,0.6424474633309981,2183,2183
000660 KS,FICO UN,0.7713202701243385,132.49920757321834,3.1503068449677265,2183,2183
000660 KS,FIS UN,0.6647645344200965,11.839216933149965,0.45708739976780993,2183,2183
000660 KS,FISV UW,0.8564369099850357,17.724082220911466,0.8071473056581923,2183,2183
000660 KS,FIVN UQ,0.8551610401917992,774.0162262960237,16.97850451808601,2183,2183
000660 KS,FLT UN,0.7536785985758345,10.826852272566036,0.4711055097412085,2183,2183
000660 KS,FOUR UN,0.5734440298218951,16.306320240161835,0.8187261184065674,777,777
000660 KS,FSLR UW,0.4265971974858488,23.924487903546837,0.7960197084069993,2183,2183
000660 KS,FTNT UW,0.7333556640361572,170.78127193014168,3.8013542926626624,2183,2183
000660 KS,G UN,0.8332251940946296,6.939108423486716,0.40818109164237154,2183,2183
