ticker,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
000080 KS Equity,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Distillers & Vintners
000100 KS Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
000120 KS Equity,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
000150 KS Equity,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
000210 KS Equity,Materials,Materials,Chemicals,Commodity Chemicals
000240 KS Equity,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
000270 KS Equity,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
000660 KS Equity,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
000670 KS Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining
000720 KS Equity,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
000810 KS Equity,Financials,Insurance,Insurance,Property & Casualty Insurance
000880 KS Equity,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
000990 KS Equity,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
001040 KS Equity,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
001120 KS Equity,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo
001230 KS Equity,Materials,Materials,Metals & Mining,Steel
001440 KS Equity,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
001450 KS Equity,Financials,Insurance,Insurance,Property & Casualty Insurance
001680 KS Equity,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
001740 KS Equity,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo
001800 KS Equity,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
002380 KS Equity,Materials,Materials,Chemicals,Diversified Chemicals
002790 KS Equity,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
003090 KS Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
003230 KS Equity,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
003240 KS Equity,Materials,Materials,Chemicals,Commodity Chemicals
003410 KS Equity,Materials,Materials,Construction Materials,Construction Materials
003490 KS Equity,Industrials,Transportation,Passenger Airlines,Passenger Airlines
003550 KS Equity,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
003670 KS Equity,Materials,Materials,Construction Materials,Construction Materials
003850 KS Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
004000 KS Equity,Materials,Materials,Chemicals,Diversified Chemicals
004020 KS Equity,Materials,Materials,Metals & Mining,Steel
004170 KS Equity,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail
004370 KS Equity,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
004490 KS Equity,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
004800 KS Equity,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
004990 KS Equity,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
005250 KS Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
005300 KS Equity,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks & Non-alcoholic Be
005380 KS Equity,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
005490 KS Equity,Materials,Materials,Metals & Mining,Steel
005830 KS Equity,Financials,Insurance,Insurance,Property & Casualty Insurance
005850 KS Equity,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
005930 KS Equity,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &"
005940 KS Equity,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage
006040 KS Equity,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
006260 KS Equity,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
006280 KS Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
006360 KS Equity,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
006400 KS Equity,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components
006650 KS Equity,Materials,Materials,Chemicals,Commodity Chemicals
006800 KS Equity,Financials,Financial Services,Capital Markets,Diversified Capital Markets
007070 KS Equity,Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Food Retail
007310 KS Equity,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
008770 KS Equity,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Other Specialty Retail
008930 KS Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
009150 KS Equity,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components
009240 KS Equity,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Home Furnishings
009420 KS Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
009540 KS Equity,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
009830 KS Equity,Materials,Materials,Chemicals,Commodity Chemicals
009900 KS Equity,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
010060 KS Equity,Materials,Materials,Chemicals,Diversified Chemicals
010120 KS Equity,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
010130 KS Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining
010140 KS Equity,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
010620 KS Equity,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
010780 KS Equity,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
010950 KS Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
011070 KS Equity,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components
011170 KS Equity,Materials,Materials,Chemicals,Commodity Chemicals
011200 KS Equity,Industrials,Transportation,Marine Transportation,Marine Transportation
011210 KS Equity,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
011780 KS Equity,Materials,Materials,Chemicals,Commodity Chemicals
011790 KS Equity,Materials,Materials,Chemicals,Commodity Chemicals
012330 KS Equity,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
012450 KS Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
012750 KS Equity,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Security & Alarm Services
013890 KS Equity,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Home Furnishings
014680 KS Equity,Materials,Materials,Chemicals,Specialty Chemicals
014820 KS Equity,Materials,Materials,Containers & Packaging,"Metal, Glass & Plastic Contain"
015760 KS Equity,Utilities,Utilities,Electric Utilities,Electric Utilities
016360 KS Equity,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage
016380 KS Equity,Materials,Materials,Metals & Mining,Steel
017670 KS Equity,Communication Services,Telecommunication Services,Wireless Telecommunication Ser,Wireless Telecommunication Ser
017800 KS Equity,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie
018260 KS Equity,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
018880 KS Equity,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
019170 KS Equity,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
020000 KS Equity,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury"
020150 KS Equity,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components
020560 KS Equity,Industrials,Transportation,Passenger Airlines,Passenger Airlines
021240 KS Equity,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Household Appliances
023530 KS Equity,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail
024110 KS Equity,Financials,Banks,Banks,Diversified Banks
026960 KS Equity,Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Food Distributors
028050 KS Equity,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
028260 KS Equity,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
028670 KS Equity,Industrials,Transportation,Marine Transportation,Marine Transportation
029780 KS Equity,Financials,Financial Services,Consumer Finance,Consumer Finance
030000 KS Equity,Communication Services,Media & Entertainment,Media,Advertising
030200 KS Equity,Communication Services,Telecommunication Services,Diversified Telecommunication,Integrated Telecommunication S
031430 KS Equity,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Apparel Retail
032350 KS Equity,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
032640 KS Equity,Communication Services,Telecommunication Services,Diversified Telecommunication,Integrated Telecommunication S
