ticker,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
ADP UW Equity,Industrials,Commercial & Professional Serv,Professional Services,Human Resource & Employment Se
ADPT UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
ADSK UW Equity,Information Technology,Software & Services,Software,Application Software
ADT UN Equity,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services
ADTH UR Equity,Communication Services,Media & Entertainment,Media,Advertising
ADTN UW Equity,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
ADUS UW Equity,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
ADV UW Equity,Communication Services,Media & Entertainment,Media,Advertising
AEE UN Equity,Utilities,Utilities,Multi-Utilities,Multi-Utilities
AEIS UW Equity,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Equipment & Instrum
AEL UN Equity,Financials,Insurance,Insurance,Life & Health Insurance
AEO UN Equity,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Apparel Retail
AEP UW Equity,Utilities,Utilities,Electric Utilities,Electric Utilities
AES UN Equity,Utilities,Utilities,Independent Power and Renewabl,Independent Power Producers &
AEVA UN Equity,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Equipment & Instrum
AFCG UQ Equity,Financials,Financial Services,Mortgage Real Estate Investmen,Mortgage REITs
AFG UN Equity,Financials,Insurance,Insurance,Property & Casualty Insurance
AFL UN Equity,Financials,Insurance,Insurance,Life & Health Insurance
AFMD UQ Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AFRM UW Equity,Financials,Financial Services,Financial Services,Transaction & Payment Processi
AGCO UN Equity,Industrials,Capital Goods,Machinery,Agricultural & Farm Machinery
AGEN UR Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AGIO UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AGL UN Equity,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
AGM UN Equity,Financials,Financial Services,Financial Services,Commercial & Residential Mortg
AGNC UW Equity,Financials,Financial Services,Mortgage Real Estate Investmen,Mortgage REITs
AGO UN Equity,Financials,Insurance,Insurance,Property & Casualty Insurance
AGR UN Equity,Utilities,Utilities,Electric Utilities,Electric Utilities
AGTI UN Equity,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
AGX UN Equity,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
AGYS UW Equity,Information Technology,Software & Services,Software,Application Software
AHCO UR Equity,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Distributors
AHH UN Equity,Real Estate,Equity Real Estate Investment,Diversified REITs,Diversified REITs
AHT UN Equity,Real Estate,Equity Real Estate Investment,Hotel & Resort REITs,Hotel & Resort REITs
AI UN Equity,Information Technology,Software & Services,Software,Application Software
AIG UN Equity,Financials,Insurance,Insurance,Multi-line Insurance
AIN UN Equity,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie
AIP UQ Equity,Information Technology,Software & Services,Software,Systems Software
AIR UN Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
AIRC UN Equity,Real Estate,Equity Real Estate Investment,Residential REITs,Multi-Family Residential REITs
AIRS UQ Equity,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
AIT UN Equity,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo
AIV UN Equity,Real Estate,Equity Real Estate Investment,Residential REITs,Multi-Family Residential REITs
AIZ UN Equity,Financials,Insurance,Insurance,Multi-line Insurance
AJG UN Equity,Financials,Insurance,Insurance,Insurance Brokers
AJRD UN Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
AKA UN Equity,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Apparel Retail
AKAM UW Equity,Information Technology,Software & Services,IT Services,Internet Services & Infrastruc
AKR UN Equity,Real Estate,Equity Real Estate Investment,Retail REITs,Retail REITs
AKRO UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AKTS UR Equity,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components
AKYA UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
AL UN Equity,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo
ALB UN Equity,Materials,Materials,Chemicals,Specialty Chemicals
ALCO UW Equity,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products & Servic
ALE UN Equity,Utilities,Utilities,Electric Utilities,Electric Utilities
ALEC UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ALEX UN Equity,Real Estate,Equity Real Estate Investment,Diversified REITs,Diversified REITs
ALG UN Equity,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
ALGM UW Equity,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
ALGN UW Equity,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Supplies
ALGT UW Equity,Industrials,Transportation,Passenger Airlines,Passenger Airlines
ALHC UW Equity,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Managed Health Care
ALIT UN Equity,Industrials,Commercial & Professional Serv,Professional Services,Human Resource & Employment Se
ALK UN Equity,Industrials,Transportation,Passenger Airlines,Passenger Airlines
ALKS UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ALKT UW Equity,Information Technology,Software & Services,Software,Application Software
ALL UN Equity,Financials,Insurance,Insurance,Property & Casualty Insurance
ALLE UN Equity,Industrials,Capital Goods,Building Products,Building Products
ALLO UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ALLY UN Equity,Financials,Financial Services,Consumer Finance,Consumer Finance
ALNY UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ALPN UQ Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ALRM UW Equity,Information Technology,Software & Services,Software,Application Software
ALRS UR Equity,Financials,Financial Services,Financial Services,Diversified Financial Services
ALSN UN Equity,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
ALTG UN Equity,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo
ALTO UR Equity,Materials,Materials,Chemicals,Specialty Chemicals
ALTR UW Equity,Information Technology,Software & Services,Software,Application Software
ALVR UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ALX UN Equity,Real Estate,Equity Real Estate Investment,Retail REITs,Retail REITs
ALXO UW Equity,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AM UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transporta
AMAL UQ Equity,Financials,Banks,Banks,Regional Banks
AMAT UW Equity,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Materials & Equi
AMBA UW Equity,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
AMBC UN Equity,Financials,Insurance,Insurance,Property & Casualty Insurance
AMBP UN Equity,Materials,Materials,Containers & Packaging,"Metal, Glass & Plastic Contain"
AMC UN Equity,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
AMCR UN Equity,Materials,Materials,Containers & Packaging,Paper & Plastic Packaging Prod
AMCX UW Equity,Communication Services,Media & Entertainment,Media,Broadcasting
AMD UW Equity,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
AME UN Equity,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
