kospi_ticker,russell_ticker,ks_len,rs_len,corr_r,corr_px,+,weight,,
018260 KS,CRDO UW,61,61,0.257193043,0.778547861,1.035740904,1.324406632,,
018260 KS,ALKT UW,61,61,0.282683074,0.732155651,1.014838725,1.323779511,,
005930 KS,RAMP UN,61,61,0.269761781,0.752250855,1.022012636,1.32044487,,
009150 KS,PEGA UW,61,61,0.324642273,0.651728832,0.976371105,1.318412811,,
402340 KS,KLAC UW,61,61,0.298441601,0.69803812,0.996479721,1.31758828,,
018260 KS,ARW UN,61,61,0.321656173,0.651330192,0.972986365,1.312259406,,
018260 KS,CRSR UW,61,61,0.373205731,0.554750584,0.927956315,1.308046367,,
000660 KS,PSTG UN,61,61,0.328362434,0.634859728,0.963222162,1.307541747,,
011070 KS,VECO UW,61,61,0.252472043,0.771114469,1.023586512,1.307416102,,
009150 KS,COHU UW,61,61,0.346257119,0.600727574,0.946984692,1.305432441,,
009150 KS,RBBN UW,61,61,0.280043771,0.714655901,0.994699671,1.300036669,,
000660 KS,AVDX UW,61,61,0.262777213,0.741951627,1.00472884,1.296053261,,
018260 KS,NOW UN,61,61,0.316938016,0.642600094,0.95953811,1.293890155,,
009150 KS,EGHT UW,61,61,0.287359016,0.69572573,0.983084746,1.293861526,,
018260 KS,EEFT UW,61,61,0.411317124,0.470936349,0.882253473,1.291682976,,
005930 KS,EBIX UW,61,61,0.306822537,0.658380242,0.965202779,1.291331442,,
006400 KS,CTS UN,61,61,0.283143229,0.700505431,0.98364866,1.290877005,,
011070 KS,AMAT UW,61,61,0.259367555,0.739259909,0.998627464,1.28663964,,
009150 KS,ICHR UW,61,61,0.297691164,0.66946536,0.967156525,1.285648692,,
005930 KS,AMAT UW,61,61,0.405880869,0.474610853,0.880491722,1.28517763,,
018260 KS,SPSC UW,61,61,0.368104005,0.540350578,0.908454583,1.282888994,,
009150 KS,BL UW,61,61,0.259630798,0.732220812,0.99185161,1.279630672,,
005930 KS,WDC UW,61,61,0.421210896,0.441607231,0.862818127,1.279353508,,
018260 KS,VRRM UR,61,61,0.262506653,0.725865589,0.988372242,1.278363167,,
011070 KS,PLAB UW,61,61,0.263591131,0.723572844,0.987163975,1.277995989,,
000660 KS,PRO UN,61,61,0.291134186,0.673337668,0.964471854,1.277204744,,
009150 KS,AVT UW,61,61,0.254696926,0.734347584,0.98904451,1.272436855,,
011070 KS,MKSI UW,61,61,0.283806246,0.680383309,0.964189555,1.270669344,,
009150 KS,PATH UN,61,61,0.290836342,0.66693066,0.957767002,1.269794238,,
009150 KS,TEAM UW,61,61,0.294672955,0.657392083,0.952065038,1.266971553,,
402340 KS,EBIX UW,61,61,0.259440687,0.720066214,0.979506901,1.266291527,,
018260 KS,CVLT UW,61,61,0.302388839,0.63986277,0.94225161,1.26306026,,
020150 KS,ETWO UN,61,61,0.267955772,0.701115217,0.969070989,1.262395661,,
009150 KS,DOX UW,61,61,0.323363033,0.597654674,0.921017707,1.258237303,,
006400 KS,CNDT UW,61,61,0.326517262,0.588379213,0.914896475,1.254386549,,
034220 KS,NSSC UW,61,61,0.371986409,0.505699197,0.877685606,1.253347374,,
009150 KS,SMAR UN,61,61,0.35167751,0.541558273,0.893235783,1.252669195,,
018260 KS,BMI UN,61,61,0.432248819,0.389980631,0.82222945,1.245417181,,
018260 KS,ON UW,61,61,0.290748742,0.643340769,0.934089511,1.244445073,,
018260 KS,EBIX UW,61,61,0.328199389,0.573894455,0.902093844,1.242151351,,
018260 KS,NTNX UW,61,61,0.258402448,0.695404778,0.953807225,1.23797504,,
009150 KS,IBM UN,61,61,0.269718311,0.669850754,0.939569065,1.232403139,,
009150 KS,FARO UW,61,61,0.265261411,0.677855689,0.9431171,1.232398909,,
