ticker,field,name,value,position
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,086280 KS,140
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,086790 KS,141
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,088350 KS,142
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,090430 KS,143
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,093370 KS,144
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,096770 KS,145
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,097950 KS,146
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,103140 KS,147
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,105560 KS,148
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,105630 KS,149
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,111770 KS,150
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,112610 KS,151
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,114090 KS,152
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,120110 KS,153
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,128940 KS,154
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,137310 KS,155
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,138040 KS,156
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,138930 KS,157
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,139130 KS,158
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,139480 KS,159
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,161390 KS,160
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,161890 KS,161
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,175330 KS,162
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,178920 KS,163
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,180640 KS,164
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,185750 KS,165
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,192080 KS,166
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,192820 KS,167
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,204320 KS,168
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,207940 KS,169
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,241560 KS,170
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,241590 KS,171
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,251270 KS,172
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,259960 KS,173
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,267250 KS,174
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,271560 KS,175
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,271940 KS,176
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,272210 KS,177
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,280360 KS,178
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,282330 KS,179
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,284740 KS,180
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,285130 KS,181
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,294870 KS,182
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,298020 KS,183
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,298050 KS,184
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,300720 KS,185
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,302440 KS,186
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,316140 KS,187
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,323410 KS,188
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,326030 KS,189
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,329180 KS,190
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,336260 KS,191
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,352820 KS,192
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,361610 KS,193
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,373220 KS,194
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,375500 KS,195
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,377300 KS,196
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,381970 KS,197
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,383220 KS,198
KOSPI2 Index,INDX_MEMBERS,Member Ticker and Exchange Code,402340 KS,199
