date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D,LOG_CHG_PCT_1D,LOG_CHG_PCT_1D_win
2023-05-22,16260.0,16100.0,16090.0,16850.0,986055.0,15814.0,-0.2454,-0.00245701599317515,-0.00245701599317515
2023-05-23,16700.0,16260.0,16020.0,18300.0,6282116.0,16754.0,2.706,0.02670035182995637,0.02670035182995637
2023-05-24,15970.0,16370.0,15880.0,16600.0,858997.0,16508.0,-4.3713,-0.04469720177948142,-0.04469720177948142
2023-05-25,15850.0,16390.0,15760.0,17230.0,2887053.0,16216.0,-0.7514,-0.007542372313730116,-0.007542372313730116
2023-05-26,16440.0,15970.0,15900.0,16840.0,1506340.0,16244.0,3.7224,0.03654791363564411,0.03654791363564411
2023-05-30,16360.0,16510.0,16360.0,17000.0,952797.0,16264.0,-0.4866,-0.004877877524353911,-0.004877877524353911
2023-05-31,16370.0,16750.0,16370.0,17040.0,1027273.0,16198.0,0.0611,0.0006108134154981358,0.0006108134154981358
2023-06-01,15960.0,16300.0,15870.0,16300.0,408550.0,16196.0,-2.5046,-0.025364988584456388,-0.025364988584456388
2023-06-02,15980.0,16200.0,15820.0,16320.0,396061.0,16222.0,0.1253,0.0012522156506247592,0.0012522156506247592
2023-06-05,15330.0,15800.0,15320.0,15860.0,430292.0,16000.0,-4.0676,-0.041526409228717746,-0.041526409228717746
2023-06-06,15330.0,15800.0,15320.0,15860.0,430292.0,16000.0,0.0,0.0,0.0
2023-06-07,14890.0,15340.0,14890.0,15370.0,340592.0,15706.0,-2.8702,-0.029121957672028957,-0.029121957672028957
2023-06-08,13980.0,14840.0,13920.0,14840.0,453889.0,15228.0,-6.1115,-0.06306227798754942,-0.052983142429472954
2023-06-09,14610.0,14150.0,14140.0,14900.0,541868.0,14958.0,4.5064,0.044078127560574706,0.03654791363564411
2023-06-12,14200.0,14690.0,14160.0,14700.0,207604.0,14602.0,-2.8063,-0.028464291437083615,-0.028464291437083615
2023-06-13,14040.0,14190.0,14040.0,14370.0,168876.0,14344.0,-1.1268,-0.011331964870028447,-0.011331964870028447
2023-06-14,14040.0,14080.0,13710.0,14330.0,227742.0,14174.0,0.0,0.0,0.0
2023-06-15,13970.0,14060.0,13480.0,14140.0,231127.0,14172.0,-0.4986,-0.004998471570772005,-0.004998471570772005
2023-06-16,14310.0,13930.0,13830.0,14500.0,288202.0,14112.0,2.4338,0.024046550278516255,0.024046550278516255
2023-06-19,13820.0,14080.0,13740.0,14120.0,300221.0,14036.0,-3.4242,-0.03484199375273801,-0.03484199375273801
2023-06-20,13730.0,13930.0,13610.0,13970.0,176221.0,13974.0,-0.6512,-0.00653329557352833,-0.00653329557352833
2023-06-21,14030.0,13710.0,13700.0,14270.0,266352.0,13972.0,2.185,0.021614709972407928,0.021614709972407928
2023-06-22,14150.0,14070.0,14050.0,14820.0,442150.0,14008.0,0.8553,0.008516630328229018,0.008516630328229018
2023-06-23,14500.0,14350.0,14210.0,14610.0,187438.0,14046.0,2.4735,0.024434042578661202,0.024434042578661202
2023-06-26,14760.0,14340.0,14300.0,14980.0,258284.0,14234.0,1.7931,0.017772135870458314,0.017772135870458314
2023-06-27,14340.0,14940.0,14340.0,15050.0,301822.0,14356.0,-2.8455,-0.028867691113865748,-0.028867691113865748
2023-06-28,13600.0,14420.0,13600.0,14420.0,291084.0,14270.0,-5.1604,-0.052983142429472954,-0.052983142429472954
2023-06-29,13180.0,13510.0,12910.0,13690.0,235100.0,14076.0,-3.0882,-0.03136889947954756,-0.03136889947954756
2023-06-30,13560.0,13200.0,12920.0,13650.0,154481.0,13888.0,2.8832,0.028424178216559164,0.028424178216559164
