date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D,LOG_CHG_PCT_1D,LOG_CHG_PCT_1D_win
2019-07-16,9890.0,10150.0,9860.0,10200.0,508360.0,11824.0,-0.9018,-0.009058908288348044,-0.009058908288348044
2019-07-17,10250.0,10000.0,9950.0,11400.0,1772716.0,10694.0,3.64,0.03575316970581784,0.03575316970581784
2019-07-18,9880.0,10300.0,9810.0,10300.0,373277.0,10330.0,-3.6098,-0.03676564929033147,-0.03676564929033147
2019-07-19,10050.0,9970.0,9950.0,10550.0,554594.0,10010.0,1.7206,0.017059653093456785,0.017059653093456785
2019-07-22,10050.0,10100.0,9970.0,10350.0,351754.0,10024.0,0.0,0.0,0.0
2019-07-23,10800.0,10150.0,10050.0,10800.0,673450.0,10206.0,7.4627,0.07197362462508143,0.052606681516954926
2019-07-24,10200.0,10700.0,10100.0,10900.0,605166.0,10196.0,-5.5556,-0.057158884428294685,-0.047665147238361766
2019-07-25,10200.0,10250.0,10000.0,10550.0,420764.0,10260.0,0.0,0.0,0.0
2019-07-26,9870.0,10250.0,9760.0,10350.0,271735.0,10224.0,-3.2353,-0.03288792763511055,-0.03288792763511055
2019-07-29,8680.0,9860.0,8650.0,9870.0,323001.0,9950.0,-12.0567,-0.1284778973538679,-0.047665147238361766
2019-07-30,8530.0,8510.0,8460.0,8850.0,224499.0,9496.0,-1.7281,-0.017432059314046143,-0.017432059314046143
2019-07-31,8700.0,8580.0,8490.0,9100.0,247420.0,9196.0,1.993,0.019733997490228066,0.019733997490228066
2019-08-01,8750.0,8630.0,8550.0,8930.0,108732.0,8906.0,0.5747,0.005730548994691357,0.005730548994691357
2019-08-02,8800.0,8700.0,8550.0,8990.0,102679.0,8692.0,0.5714,0.005697737023688279,0.005697737023688279
2019-08-05,8000.0,8850.0,7900.0,8850.0,129466.0,8556.0,-9.0909,-0.09531007980432987,-0.047665147238361766
2019-08-06,8000.0,7730.0,7270.0,8230.0,114374.0,8450.0,0.0,0.0,0.0
2019-08-07,7760.0,8170.0,7760.0,8170.0,84275.0,8262.0,-3.0,-0.030459207484708574,-0.030459207484708574
2019-08-08,8000.0,7800.0,7800.0,8150.0,60190.0,8112.0,3.0928,0.03045936748469581,0.03045936748469581
2019-08-09,8390.0,8040.0,8040.0,8440.0,66628.0,8030.0,4.875,0.04759897879927895,0.04759897879927895
2019-08-12,8590.0,8460.0,8250.0,8630.0,55693.0,8148.0,2.3838,0.023558310976881682,0.023558310976881682
2019-08-13,8470.0,8560.0,8440.0,8620.0,36623.0,8242.0,-1.397,-0.014068498878873069,-0.014068498878873069
2019-08-14,8430.0,8540.0,8430.0,8640.0,32670.0,8376.0,-0.4723,-0.004734188607596476,-0.004734188607596476
2019-08-15,8430.0,8540.0,8430.0,8640.0,32670.0,8376.0,0.0,0.0,0.0
2019-08-16,8070.0,8260.0,8070.0,8430.0,30733.0,8390.0,-4.2705,-0.04364368006655532,-0.04364368006655532
2019-08-19,8080.0,8100.0,8080.0,8250.0,17409.0,8328.0,0.1239,0.0012382330729163974,0.0012382330729163974
2019-08-20,8180.0,8100.0,7990.0,8200.0,32257.0,8246.0,1.2376,0.012300043362797667,0.012300043362797667
2019-08-21,8420.0,8110.0,8110.0,8510.0,96342.0,8236.0,2.934,0.02891782015738417,0.02891782015738417
2019-08-22,8240.0,8390.0,8240.0,8510.0,34077.0,8198.0,-2.1378,-0.02160981928436744,-0.02160981928436744
2019-08-23,8270.0,8200.0,8080.0,8370.0,36946.0,8238.0,0.3641,0.0036343876051259457,0.0036343876051259457
2019-08-26,7990.0,8100.0,7880.0,8190.0,27604.0,8220.0,-3.3857,-0.03444342259914712,-0.03444342259914712
2019-08-27,7950.0,8230.0,7850.0,8230.0,19430.0,8174.0,-0.5006,-0.0050185719924794375,-0.0050185719924794375
2019-08-28,7970.0,7950.0,7800.0,7990.0,41251.0,8084.0,0.2516,0.0025128401709767485,0.0025128401709767485
2019-08-29,8000.0,8000.0,7950.0,8120.0,20500.0,8036.0,0.3764,0.0037569338777057445,0.0037569338777057445
2019-08-30,8090.0,8100.0,8000.0,8190.0,28011.0,8000.0,1.125,0.011187189390564376,0.011187189390564376
2019-09-02,8940.0,8180.0,8130.0,9550.0,1633253.0,8190.0,10.5068,0.0999068715378411,0.052606681516954926
2019-09-03,8650.0,8940.0,8440.0,8980.0,281198.0,8330.0,-3.2438,-0.03297577344406934,-0.03297577344406934
2019-09-04,8610.0,8650.0,8600.0,9070.0,485940.0,8458.0,-0.4624,-0.004634723758542732,-0.004634723758542732
2019-09-05,8630.0,8970.0,8620.0,8970.0,190677.0,8584.0,0.2323,0.002320306006790909,0.002320306006790909
2019-09-06,8700.0,8780.0,8650.0,8970.0,129267.0,8706.0,0.8111,0.008078282634138649,0.008078282634138649
2019-09-09,8610.0,8630.0,8490.0,8890.0,93746.0,8640.0,-1.0345,-0.010398881436941702,-0.010398881436941702
2019-09-10,9220.0,8670.0,8670.0,9540.0,861916.0,8754.0,7.0848,0.06845085795748682,0.052606681516954926
2019-09-11,9630.0,9150.0,9070.0,10400.0,1566341.0,8958.0,4.4469,0.043508622301666064,0.043508622301666064
2019-09-12,9630.0,9150.0,9070.0,10400.0,1566341.0,8958.0,0.0,0.0,0.0
2019-09-13,9630.0,9150.0,9070.0,10400.0,1566341.0,8958.0,0.0,0.0,0.0
2019-09-16,9790.0,9770.0,9600.0,9840.0,225387.0,9190.0,1.6615,0.016478480987716173,0.016478480987716173
2019-09-17,9460.0,9680.0,9450.0,9760.0,121973.0,9342.0,-3.3708,-0.03428921301352552,-0.03428921301352552
2019-09-18,9420.0,9460.0,9270.0,9700.0,118871.0,9504.0,-0.4228,-0.0042369632653789955,-0.0042369632653789955
2019-09-19,9380.0,9570.0,9380.0,9840.0,197305.0,9536.0,-0.4246,-0.004255039855893458,-0.004255039855893458
2019-09-20,9470.0,9390.0,9390.0,9790.0,210019.0,9504.0,0.9595,0.009549260336129843,0.009549260336129843
2019-09-23,9560.0,9700.0,9550.0,9720.0,108643.0,9458.0,0.9504,0.009459121120507747,0.009459121120507747
2019-09-24,9470.0,9560.0,9360.0,9660.0,78415.0,9460.0,-0.9414,-0.009458591776647927,-0.009458591776647927
2019-09-25,9230.0,9360.0,9230.0,9600.0,80434.0,9422.0,-2.5343,-0.02566966475041716,-0.02566966475041716
2019-09-26,9090.0,9240.0,9080.0,9400.0,45212.0,9364.0,-1.5168,-0.015284210732416465,-0.015284210732416465
2019-09-27,8680.0,9130.0,8570.0,9190.0,105099.0,9206.0,-4.5105,-0.046153892190071086,-0.046153892190071086
2019-09-30,8420.0,8490.0,8410.0,8790.0,83154.0,8978.0,-2.9954,-0.030411785928715972,-0.030411785928715972
2019-10-01,8450.0,8530.0,8410.0,8530.0,16727.0,8774.0,0.3563,0.003556667552715443,0.003556667552715443
2019-10-02,8160.0,8400.0,8160.0,8500.0,50947.0,8560.0,-3.432,-0.03492276258926543,-0.03492276258926543
2019-10-03,8160.0,8400.0,8160.0,8500.0,50947.0,8560.0,0.0,0.0,0.0
2019-10-04,8140.0,8060.0,8060.0,8220.0,21689.0,8370.0,-0.2451,-0.0024540086175865415,-0.0024540086175865415
2019-10-07,8020.0,8170.0,8020.0,8190.0,41200.0,8238.0,-1.4742,-0.014851743173432432,-0.014851743173432432
2019-10-08,8060.0,8030.0,7950.0,8110.0,28193.0,8166.0,0.4988,0.004975601141245672,0.004975601141245672
2019-10-09,8060.0,8030.0,7950.0,8110.0,28193.0,8166.0,0.0,0.0,0.0
2019-10-10,8170.0,8020.0,7990.0,8230.0,30335.0,8110.0,1.3648,0.01355570486249249,0.01355570486249249
2019-10-11,8190.0,8250.0,8110.0,8250.0,17175.0,8116.0,0.2448,0.0024450085290858912,0.0024450085290858912
2019-10-14,8200.0,8190.0,8120.0,8300.0,15605.0,8128.0,0.1221,0.0012202551857170942,0.0012202551857170942
2019-10-15,8200.0,8200.0,8050.0,8200.0,34398.0,8164.0,0.0,0.0,0.0
2019-10-16,8220.0,8200.0,8130.0,8250.0,17746.0,8196.0,0.2439,0.0024360304669806595,0.0024360304669806595
2019-10-17,8150.0,8300.0,8150.0,8310.0,18427.0,8192.0,-0.8516,-0.008552468318402052,-0.008552468318402052
2019-10-18,8140.0,8150.0,8100.0,8280.0,22337.0,8182.0,-0.1227,-0.0012277533808285502,-0.0012277533808285502
2019-10-21,8020.0,8100.0,7980.0,8150.0,24489.0,8146.0,-1.4742,-0.014851743173432432,-0.014851743173432432
2019-10-22,8200.0,8020.0,7980.0,8520.0,159819.0,8146.0,2.2444,0.022195839708851625,0.022195839708851625
2019-10-23,8000.0,8200.0,7920.0,8200.0,44172.0,8102.0,-2.439,-0.024692362590402774,-0.024692362590402774
2019-10-24,7860.0,8020.0,7810.0,8020.0,31944.0,8044.0,-1.75,-0.01765493523872071,-0.01765493523872071
2019-10-25,8490.0,8000.0,7880.0,8730.0,550052.0,8114.0,8.0153,0.07710269776902032,0.052606681516954926
2019-10-28,8180.0,8490.0,8100.0,8490.0,79392.0,8146.0,-3.6514,-0.03719732159135223,-0.03719732159135223
2019-10-29,8250.0,8200.0,8130.0,8320.0,67546.0,8156.0,0.8557,0.008520596398497768,0.008520596398497768
2019-10-30,8060.0,8250.0,8060.0,8260.0,27908.0,8168.0,-2.303,-0.023299333654403523,-0.023299333654403523
2019-10-31,7990.0,8110.0,7900.0,8160.0,38397.0,8194.0,-0.8685,-0.008722934412453268,-0.008722934412453268
2019-11-01,7930.0,8040.0,7900.0,8060.0,38285.0,8082.0,-0.7509,-0.007537334471981781,-0.007537334471981781
2019-11-04,7910.0,7930.0,7910.0,8010.0,17621.0,8028.0,-0.2522,-0.002525185599181295,-0.002525185599181295
2019-11-05,7910.0,7910.0,7850.0,7970.0,41638.0,7960.0,0.0,0.0,0.0
2019-11-06,7870.0,7910.0,7710.0,7980.0,39230.0,7922.0,-0.5057,-0.005069829896635388,-0.005069829896635388
2019-11-07,8450.0,7950.0,7870.0,8460.0,188549.0,8014.0,7.3698,0.07110876473851281,0.052606681516954926
2019-11-08,8250.0,8450.0,8220.0,8450.0,50844.0,8078.0,-2.3669,-0.02395361071953095,-0.02395361071953095
2019-11-11,8240.0,8230.0,8110.0,8290.0,19529.0,8144.0,-0.1212,-0.0012127350659933396,-0.0012127350659933396
2019-11-12,8140.0,8150.0,8110.0,8240.0,17638.0,8190.0,-1.2136,-0.012210242531013151,-0.012210242531013151
2019-11-13,7990.0,8140.0,7970.0,8190.0,41831.0,8214.0,-1.8428,-0.018599910849652564,-0.018599910849652564
2019-11-14,8000.0,7990.0,7880.0,8060.0,19643.0,8124.0,0.1252,0.0012512169015580475,0.0012512169015580475
