date,PX_OPEN,PX_LOW,PX_HIGH,PX_LAST,VOLUME,MOV_AVG_5D,CHG_PCT_1D,LOG_CHG_PCT_1D,LOG_CHG_PCT_1D_win
2015-01-02,1980.0,1930.0,2140.0,2075.0,279203.0,2076.0,4.798,0.046864501747283425,0.046864501747283425
2015-01-05,2105.0,2040.0,2215.0,2165.0,567363.0,2078.0,4.3373,0.042458734330571034,0.042458734330571034
2015-01-06,2130.0,2055.0,2175.0,2070.0,197641.0,2079.0,-4.388,-0.04487185079553765,-0.04487185079553765
2015-01-07,2045.0,1990.0,2170.0,2155.0,304855.0,2089.0,4.1063,0.040242306533635794,0.040242306533635794
2015-01-08,2190.0,2170.0,2475.0,2240.0,2367710.0,2141.0,3.9443,0.03868499275765466,0.03868499275765466
2015-01-09,2245.0,2175.0,2345.0,2195.0,463162.0,2165.0,-2.0089,-0.020293527768102355,-0.020293527768102355
2015-01-12,2185.0,2105.0,2230.0,2200.0,261804.0,2172.0,0.2278,0.002275409291676398,0.002275409291676398
2015-01-13,2210.0,2180.0,2460.0,2180.0,968227.0,2194.0,-0.9091,-0.009132575306395963,-0.009132575306395963
2015-01-14,2180.0,2135.0,2210.0,2160.0,207671.0,2195.0,-0.9174,-0.009216340290158762,-0.009216340290158762
2015-01-15,2160.0,2135.0,2290.0,2235.0,272453.0,2194.0,3.4722,0.03413279160433471,0.03413279160433471
2015-01-16,2215.0,2130.0,2245.0,2145.0,236073.0,2184.0,-4.0268,-0.041101200161189365,-0.041101200161189365
2015-01-19,2145.0,2110.0,2205.0,2110.0,206700.0,2166.0,-1.6317,-0.016451588304327604,-0.016451588304327604
2015-01-20,2120.0,1980.0,2140.0,2020.0,396761.0,2134.0,-4.2654,-0.04359040637189185,-0.04359040637189185
2015-01-21,2000.0,1970.0,2045.0,1980.0,172130.0,2098.0,-1.9802,-0.020000686908689915,-0.020000686908689915
2015-01-22,1980.0,1970.0,2060.0,2025.0,136192.0,2056.0,2.2727,0.022472589185356315,0.022472589185356315
2015-01-23,2065.0,1950.0,2065.0,1950.0,126705.0,2017.0,-3.7037,-0.03774028952130929,-0.03774028952130929
2015-01-26,1965.0,1900.0,1995.0,1900.0,185919.0,1975.0,-2.5641,-0.025975460087471557,-0.025975460087471557
2015-01-27,1915.0,1915.0,1975.0,1920.0,87690.0,1955.0,1.0526,0.010470987367246611,0.010470987367246611
2015-01-28,1930.0,1900.0,2020.0,1950.0,111658.0,1949.0,1.5625,0.015504186535965254,0.015504186535965254
2015-01-29,1960.0,1910.0,1985.0,1920.0,102918.0,1928.0,-1.5385,-0.01550457716104153,-0.01550457716104153
2015-01-30,1960.0,1890.0,1960.0,1890.0,80916.0,1916.0,-1.5625,-0.015748356968139168,-0.015748356968139168
2015-02-02,1920.0,1855.0,1920.0,1875.0,80987.0,1911.0,-0.7937,-0.007968665649299853,-0.007968665649299853
2015-02-03,1865.0,1850.0,1955.0,1955.0,183935.0,1918.0,4.2667,0.041781853707998494,0.041781853707998494
2015-02-04,1950.0,1930.0,1975.0,1950.0,81104.0,1918.0,-0.2558,-0.002561277272034174,-0.002561277272034174
2015-02-05,1960.0,1915.0,2000.0,1915.0,103683.0,1917.0,-1.7949,-0.018112037149353676,-0.018112037149353676
2015-02-06,1910.0,1905.0,1985.0,1930.0,84334.0,1925.0,0.7833,0.007802481320449176,0.007802481320449176
2015-02-09,1930.0,1925.0,1995.0,1945.0,114750.0,1939.0,0.7772,0.0077419535880624115,0.0077419535880624115
2015-02-10,1955.0,1930.0,2215.0,2150.0,785126.0,1978.0,10.5398,0.10020545111558786,0.04956415027917708
2015-02-11,2175.0,2080.0,2175.0,2170.0,264698.0,2022.0,0.9302,0.009259002832099485,0.009259002832099485
2015-02-12,2170.0,2105.0,2220.0,2210.0,401632.0,2081.0,1.8433,0.01826517150668938,0.01826517150668938
2015-02-13,2230.0,2150.0,2255.0,2160.0,217472.0,2127.0,-2.2624,-0.022883849389242112,-0.022883849389242112
2015-02-16,2200.0,2005.0,2220.0,2005.0,175149.0,2139.0,-7.1759,-0.07446388163583452,-0.0450402538796994
2015-02-17,2035.0,1935.0,2090.0,2090.0,174774.0,2127.0,4.2394,0.04151999086412008,0.04151999086412008
2015-02-18,2035.0,1935.0,2090.0,2090.0,174774.0,2127.0,0.0,0.0,0.0
2015-02-19,2035.0,1935.0,2090.0,2090.0,174774.0,2127.0,0.0,0.0,0.0
2015-02-20,2035.0,1935.0,2090.0,2090.0,174774.0,2127.0,0.0,0.0,0.0
2015-02-23,2045.0,2035.0,2115.0,2085.0,87137.0,2110.0,-0.2392,-0.0023948654022734315,-0.0023948654022734315
2015-02-24,2055.0,2040.0,2150.0,2075.0,109742.0,2083.0,-0.4796,-0.004807537712694911,-0.004807537712694911
2015-02-25,2075.0,2075.0,2230.0,2180.0,296924.0,2087.0,5.0602,0.04936333321000316,0.04936333321000316
2015-02-26,2240.0,2130.0,2240.0,2220.0,273535.0,2130.0,1.8349,0.018182688452491536,0.018182688452491536
2015-02-27,2180.0,2140.0,2220.0,2150.0,171263.0,2142.0,-3.1532,-0.03203983746566388,-0.03203983746566388
2015-03-02,2130.0,2060.0,2180.0,2090.0,127005.0,2143.0,-2.7907,-0.02830380008629707,-0.02830380008629707
2015-03-03,2090.0,2035.0,2165.0,2105.0,94789.0,2149.0,0.7177,0.007151367903467771,0.007151367903467771
2015-03-04,2155.0,2145.0,2230.0,2155.0,209975.0,2144.0,2.3753,0.023475286583778822,0.023475286583778822
2015-03-05,2160.0,2150.0,2260.0,2250.0,221547.0,2150.0,4.4084,0.043139945993848246,0.043139945993848246
2015-03-06,2235.0,2200.0,2270.0,2220.0,93027.0,2164.0,-1.3333,-0.013422682494359956,-0.013422682494359956
2015-03-09,2245.0,2170.0,2295.0,2295.0,192204.0,2205.0,3.3784,0.033225856778625364,0.033225856778625364
2015-03-10,2285.0,2260.0,2635.0,2635.0,849313.0,2311.0,14.8148,0.13815020944855075,0.04956415027917708
2015-03-11,2780.0,2500.0,2865.0,2685.0,1807755.0,2417.0,1.8975,0.018797220082905464,0.018797220082905464
2015-03-12,2680.0,2570.0,2770.0,2680.0,794838.0,2503.0,-0.1862,-0.001863735676888255,-0.001863735676888255
2015-03-13,2755.0,2630.0,2860.0,2630.0,747096.0,2585.0,-1.8657,-0.018833237306517946,-0.018833237306517946
2015-03-16,2580.0,2450.0,2625.0,2505.0,320010.0,2627.0,-4.7529,-0.04869561863900157,-0.0450402538796994
2015-03-17,2495.0,2485.0,2590.0,2510.0,198773.0,2602.0,0.1996,0.001994010638736984,0.001994010638736984
2015-03-18,2465.0,2395.0,2510.0,2430.0,230551.0,2551.0,-3.1873,-0.03239200196420308,-0.03239200196420308
2015-03-19,2465.0,2400.0,2465.0,2440.0,111934.0,2503.0,0.4115,0.004106556542792031,0.004106556542792031
2015-03-20,2475.0,2365.0,2475.0,2415.0,115130.0,2460.0,-1.0246,-0.010298851579461393,-0.010298851579461393
2015-03-23,2410.0,2385.0,2500.0,2480.0,124896.0,2455.0,2.6915,0.026559162185251894,0.026559162185251894
2015-03-24,2450.0,2450.0,2525.0,2485.0,162720.0,2450.0,0.2016,0.0020139705990571545,0.0020139705990571545
2015-03-25,2490.0,2425.0,2515.0,2435.0,157785.0,2451.0,-2.0121,-0.02032618432824694,-0.02032618432824694
2015-03-26,2435.0,2305.0,2455.0,2315.0,198017.0,2426.0,-4.9281,-0.05053673854284662,-0.0450402538796994
